eta,tau,floor
0.1,0.05,0.0969616330963445
0.1,0.1,0.22138416219017437
0.1,0.2,0.34354518060415007
0.1,0.5,0.4701309005957528
0.1,1.0,0.6796220414597113
0.5,0.05,0.09662268984430537
0.5,0.1,0.22137621206875463
0.5,0.2,0.3435451789685806
0.5,0.5,0.4701309005957529
0.5,1.0,0.6796220414597112
