episode,exp
0,0.4381626586
10000,0.4381626586
20000,0.3237192445
30000,0.2882065678
60000,0.1483091036
90000,0.1285452772
120000,0.1348448741
150000,0.1301614349
180000,0.1332532757
210000,0.1450900257
240000,0.1524448364
270000,0.1611078644
300000,0.163828154
330000,0.1553493208
360000,0.1701636609
390000,0.1716083839
420000,0.1684408131
450000,0.1608496046
480000,0.1535554983
510000,0.1618222644
540000,0.1520347182
570000,0.1416434471
600000,0.1432787681
630000,0.1458624612
660000,0.1471927192
690000,0.142066364
720000,0.1403325204
750000,0.1423112754
780000,0.1446351933
810000,0.1318138546
840000,0.1299139174
870000,0.1326901667
900000,0.1215516179
930000,0.1243206475
960000,0.1160898218
990000,0.1175045408
