episode,exp
0,2.412047542
10000,2.503408236
20000,2.338478485
30000,2.221688605
60000,2.371629089
90000,2.445438664
120000,2.453945233
150000,2.416186218
180000,2.356566303
210000,2.268726793
240000,2.171695533
270000,2.117744801
300000,2.087369905
330000,2.033403522
360000,2.038104154
390000,2.011159837
420000,1.961829468
450000,1.917189651
480000,1.908824968
510000,1.879295257
540000,1.845140976
570000,1.802066777
600000,1.763113517
630000,1.745979556
660000,1.680226176
690000,1.691492961
720000,1.604739944
750000,1.630554457
780000,1.583641625
810000,1.581927858
840000,1.535693295
870000,1.519616053
900000,1.503993835
930000,1.474942629
960000,1.409703135
990000,1.369913609
