episode,exp
0,2.354847674
20000,1.753625184
40000,2.345970301
60000,1.559415609
120000,1.084048382
180000,0.8174147645
240000,0.6424904597
300000,0.5240833577
360000,0.4677349844
420000,0.5483040651
480000,0.5714691681
540000,0.41637242
600000,0.3771990659
660000,0.3725102124
720000,0.3955641061
780000,0.3190785734
840000,0.3670915156
900000,0.3421599566
960000,0.370537346
