alg,episode,nc_last
lam025,1,4.763230500288675
lam025,2000,3.6173580332989896
lam025,4000,2.385392760048626
lam025,6000,1.6351140452764326
lam025,8000,1.4198229392721524
lam025,10000,1.8033470899405661
lam025,12000,1.7022490291357957
lam025,14000,1.8472997267745965
lam025,16000,1.8313235114496165
lam025,18000,2.0045149951999526
lam025,20000,2.0447785698329004
lam025,22000,2.0823125944146867
lam025,24000,2.552561005001553
lam025,26000,3.0624044965803865
lam025,28000,3.0199748670822926
lam025,30000,3.076105060703531
lam025,32000,2.6506081086432594
lam025,34000,2.5305634053312733
lam025,36000,2.0933604539138857
lam025,38000,2.468121028315056
lam025,40000,2.7206726083348407
lam025,42000,2.1997044767534897
lam025,44000,1.7663055339677167
lam025,46000,2.3594099818832315
lam025,48000,2.1497664656246176
lam025,50000,1.6727893005511714
lam025,52000,1.3850952861207402
lam025,54000,1.3777734605058702
lam025,56000,1.3939223980868782
lam025,58000,1.2337765057171146
lam025,60000,1.178546754891767
lam025,62000,1.1402645097268385
lam025,64000,1.191157926761605
lam025,66000,1.086347780297044
lam025,68000,1.1017034991774142
lam025,70000,1.1252374465530366
lam025,72000,1.1279959114932185
lam025,74000,1.0917507817449394
lam025,76000,1.2188954950620206
lam025,78000,1.2053399240847282
lam025,80000,1.2277893438841216
lam025,82000,1.18313065352607
lam025,84000,1.199193717491956
lam025,86000,1.1482393401966524
lam025,88000,1.1602556385930871
lam025,90000,1.146037991424405
lam025,92000,1.2778242095481538
lam025,94000,1.5185687496518625
lam025,96000,1.5713221565223325
lam025,98000,1.4692291450960837
lam025,100000,1.4491238804930653
