episode,nc_last
1,4.732258
4000,3.199015
8000,2.8583004
12000,2.0993464
16000,1.8627157
20000,1.3071265
24000,1.22516
28000,1.068531
32000,1.0511642
36000,0.9636266
40000,0.8947327
44000,0.8810209
48000,0.80659354
52000,0.7434419
56000,0.6976978
60000,0.7369236
64000,0.8139162
68000,0.7544959
72000,0.749617
76000,0.74254054
80000,0.7677624
84000,0.7589748
88000,0.7659529
92000,0.8780801
96000,0.760615
100000,0.72874635
104000,0.93264127
108000,0.9149478
112000,0.8341919
116000,0.7830666
120000,0.7128183
124000,0.6475909
128000,0.77422106
132000,0.84955525
136000,0.77553177
140000,0.850096
144000,0.806449
148000,0.87156534
152000,0.7901802
156000,0.7995709
160000,0.69397455
164000,0.6796722
168000,0.86262584
172000,0.7886195
176000,0.7417735
180000,0.6807946
184000,0.60341525
188000,0.61461115
192000,0.6228421
196000,0.6615073
200000,0.6494994
204000,0.7066521
208000,0.75890326
212000,0.52209616
216000,0.55158824
220000,0.6865323
224000,0.50913
228000,0.5065347
232000,0.5417626
236000,0.5178194
240000,0.5203246
244000,0.5214865
248000,0.6208042
252000,0.71626467
256000,0.68048745
260000,0.65402895
264000,0.7473406
268000,0.6177614
272000,0.5900328
276000,0.6977421
280000,0.58486545
284000,0.5932044
288000,0.54315275
292000,0.545455
296000,0.5882757
300000,0.67198986
304000,0.6308481
308000,0.55978626
312000,0.5539251
316000,0.5453488
320000,0.53917074
324000,0.55686057
328000,0.5696468
332000,0.7071067
336000,0.7208928
340000,0.6741562
344000,0.6135059
348000,0.5697592
352000,0.5903268
356000,0.6098833
360000,0.69731784
364000,0.6439137
368000,0.64583945
372000,0.72002614
376000,0.68354756
380000,0.6814109
384000,0.67305595
388000,0.71805227
392000,0.731749
396000,0.7309169
400000,0.67190933
