eta,tau,iters,floor
0.5,0.01,6000,0.009868001177721547
0.5,0.02,5000,0.025055011493399254
0.5,0.05,5000,0.09662268985500999
0.5,0.1,5000,0.22137621206875463
0.5,0.2,5000,0.3435451789685806
0.5,0.5,5000,0.4701309005957529
0.5,1.0,5000,0.6796220414597111
