alg,iter,nc_last,nc_avg
cfrplus_n0.0,1,0.5,0.5
cfrplus_n0.0,150,0.0774107239573383,0.001499929815167833
cfrplus_n0.0,300,0.049970861701455066,0.0009126339124525262
cfrplus_n0.0,450,0.03265315447532502,0.0003219189683131285
cfrplus_n0.0,600,0.04435214387536465,6.542409875773258e-05
cfrplus_n0.0,750,0.022409896786164757,0.0003139549830211419
cfrplus_n0.0,900,0.02399637141338723,0.0002697148122615123
cfrplus_n0.0,1050,0.03250625934808529,0.00010610975563046798
cfrplus_n0.0,1200,0.04790407847283126,0.00024136244512371063
cfrplus_n0.0,1350,0.041418091635707616,0.00011091893595932545
cfrplus_n0.0,1500,0.029933657357424898,7.71145718055366e-05
cfrplus_n0.0,1650,0.04403508682450202,9.850159264851444e-05
cfrplus_n0.0,1800,0.040069997228919796,0.00016612549301192603
cfrplus_n0.0,1950,0.028351480384288114,0.00010622342509669647
cfrplus_n0.0,2100,0.041892437644031444,7.271010542625467e-05
cfrplus_n0.0,2250,0.030901227913481127,0.00013901100862212523
cfrplus_n0.0,2400,0.03952258901482811,9.466367829769062e-05
cfrplus_n0.0,2550,0.0217765782822249,8.027325652870676e-05
cfrplus_n0.0,2700,0.02752840929386241,0.00011703094879933484
cfrplus_n0.0,2850,0.03635388083641425,0.00012651860781329183
cfrplus_n0.0,3000,0.040244211075763564,7.30682205796751e-05
cfrplus_n0.0,3150,0.035415196119202935,6.35236583706178e-05
cfrplus_n0.0,3300,0.031623326739124824,7.692880023896231e-05
cfrplus_n0.0,3450,0.03525755636968825,7.091832394098829e-05
cfrplus_n0.0,3600,0.03696691410310063,8.433859134260313e-05
cfrplus_n0.0,3750,0.033380106145619065,9.339172393579842e-05
cfrplus_n0.0,3900,0.029454516450127338,0.00010613092184730277
cfrplus_n0.0,4050,0.025929452488011706,6.218734399981996e-05
cfrplus_n0.0,4200,0.026058313283348844,4.3353670457740856e-05
cfrplus_n0.0,4350,0.035150316775473395,7.037081740673967e-05
cfrplus_n0.0,4500,0.02986411908201425,8.563878853512508e-05
