K,overall_slope,final_nc
25,-0.00044396530542408316,2.40903361148348e-09
50,-0.0008878099860982002,4.6629367034256575e-15
100,-0.0008875353430153752,6.522560269672795e-15
200,-0.0004945894435022079,4.2127309973771787e-10
