alg,iter,nc_last,nc_avg
cfrplus,1,4.102222222222222,4.102222222222222
cfrplus,100,0.09639681691234508,0.030165374253143237
cfrplus,200,0.06322757012448713,0.015420902289908486
cfrplus,300,0.058077972874598954,0.008622524824320424
cfrplus,400,0.0397311544898572,0.006649649933507404
cfrplus,500,0.028946751855896652,0.005909152697246539
cfrplus,600,0.015824881679424765,0.00513412197121349
cfrplus,700,0.03470619872186881,0.004876001047674272
cfrplus,800,0.011908735915888147,0.004598233895231299
cfrplus,900,0.03076849234209421,0.004334511377987377
cfrplus,1000,0.011898804499935745,0.004187215292121058
cfrplus,1100,0.009770877118760818,0.004004875894222229
cfrplus,1200,0.012571185910254301,0.0038579154985605296
cfrplus,1300,0.013663418760772622,0.0037713474381052964
cfrplus,1400,0.012246900008012138,0.0035979775382423834
cfrplus,1500,0.009548976645614216,0.003555848001880399
cfrplus,1600,0.013976114360973721,0.003419288329298706
cfrplus,1700,0.010821616898135045,0.0033697432469147193
cfrplus,1800,0.008530702118015432,0.0032710670926670293
cfrplus,1900,0.009006501686600124,0.0003207938195536608
cfrplus,2000,0.008827865250278955,0.0002770935458932533
cfrplus,2100,0.008887809385680165,0.00025025447345009
cfrplus,2200,0.011187629278449684,0.00023733291354353925
cfrplus,2300,0.009879393858890612,0.0002208409412317175
cfrplus,2400,0.008562568995585051,0.0001912587343121247
cfrplus,2500,0.005131290318204501,0.00019629739241062982
cfrplus,2600,0.008000546147957144,0.00016631211381945565
cfrplus,2700,0.007710118971297142,0.00016984276277699772
cfrplus,2800,0.01004916239940741,0.00015206125902564316
cfrplus,2900,0.006393311905995222,0.00014809755897821075
cfrplus,3000,0.007689150040707707,0.0001370101862863543
cfrplus,3100,0.005775934978947711,0.00012457791852400757
cfrplus,3200,0.004756375514316735,0.00012608210149335497
cfrplus,3300,0.008911633418194564,0.00011201804530530657
cfrplus,3400,0.008582304607036587,0.00011067315809266953
cfrplus,3500,0.0073399674719501345,0.00010274698986001418
cfrplus,3600,0.008008803464260111,9.569119859913211e-05
cfrplus,3700,0.004990524879200958,9.200901359238123e-05
cfrplus,3800,0.007098793533997033,8.786905313333537e-05
cfrplus,3900,0.008102270326927813,8.177862616842724e-05
cfrplus,4000,0.005004295978258744,8.039200174572714e-05
cfrplus,4100,0.006805524099583654,7.689639853383778e-05
cfrplus,4200,0.007300555388881955,7.171829052565748e-05
cfrplus,4300,0.0064874802247218005,6.945467400357175e-05
cfrplus,4400,0.009320309171921157,6.878519359761193e-05
cfrplus,4500,0.003598293707110345,6.43790419475182e-05
cfrplus,4600,0.004340613537182514,6.092373589818012e-05
cfrplus,4700,0.004103006571956738,6.03168395051229e-05
cfrplus,4800,0.00413295104550189,5.5730569509276906e-05
cfrplus,4900,0.005314357542405987,5.612463577714388e-05
cfrplus,5000,0.007075928817894733,5.3315707782858324e-05
cfrplus,5100,0.0038363232028837263,4.9434386205804426e-05
cfrplus,5200,0.005213478640776342,5.123334726746254e-05
cfrplus,5300,0.006286814729573903,4.645160670999071e-05
cfrplus,5400,0.005134054908774957,4.5910506889693115e-05
cfrplus,5500,0.00321563223342905,4.5564395258976265e-05
cfrplus,5600,0.004099092216622913,4.1565955279890265e-05
cfrplus,5700,0.003839668865144072,4.306419454282173e-05
cfrplus,5800,0.003718846823544106,3.974109973070572e-05
cfrplus,5900,0.005118918808942052,3.960189206911324e-05
cfrplus,6000,0.004328114683954498,3.8999376387682805e-05
cfrplus,6100,0.004818333989156071,3.6391061163515426e-05
cfrplus,6200,0.0021831892315655466,3.78071977630845e-05
cfrplus,6300,0.004097621373513979,3.486554946798004e-05
cfrplus,6400,0.007704112692019496,3.444380970984984e-05
cfrplus,6500,0.003178597607147088,3.435177730903849e-05
cfrplus,6600,0.009640432477798014,3.1862371499130626e-05
cfrplus,6700,0.009744947361073827,3.273500477955771e-05
cfrplus,6800,0.008446592173831396,3.0943096907543044e-05
cfrplus,6900,0.004217479336814614,3.0154897479831022e-05
cfrplus,7000,0.00890043579361828,3.0249435169243943e-05
cfrplus,7100,0.006803579661290013,2.8198520194797072e-05
cfrplus,7200,0.007914461237838746,2.8665204839239955e-05
cfrplus,7300,0.007985659023411598,2.72875997007066e-05
cfrplus,7400,0.007111023842110598,2.666628270560356e-05
cfrplus,7500,0.008864875453194976,2.6539719940169015e-05
cfrplus,7600,0.00476279944511962,2.527594617435236e-05
cfrplus,7700,0.003828410969055382,2.5488233141510164e-05
cfrplus,7800,0.00426151155370115,2.447145183194499e-05
cfrplus,7900,0.009200923353277032,2.4243176650978748e-05
cfrplus,8000,0.00452651008127368,2.362497949860709e-05
cfrplus,8100,0.006941194763361594,2.2958089755859e-05
cfrplus,8200,0.00993552263884015,2.2786626599741178e-05
cfrplus,8300,0.007785016642370704,2.1895479416070285e-05
cfrplus,8400,0.006496826859845345,2.174179673269938e-05
cfrplus,8500,0.00622981554621882,2.165392008131317e-05
cfrplus,8600,0.006611621270220094,2.1029172956682496e-05
cfrplus,8700,0.0082273271202052,2.0884396126408244e-05
cfrplus,8800,0.008255037289671321,2.022404488065399e-05
cfrplus,8900,0.008406489973185285,2.0204943017507193e-05
cfrplus,9000,0.007703806426199847,2.0107284544046422e-05
cfrplus,9100,0.0032767329545434626,1.9559722262377233e-05
cfrplus,9200,0.009555021960252291,1.9754862164794718e-05
cfrplus,9300,0.005146591735300979,1.8521528180936997e-05
cfrplus,9400,0.003615381379399929,1.9023672415269255e-05
cfrplus,9500,0.004345432128672777,1.8685730910794618e-05
cfrplus,9600,0.003763002074052224,1.8073895589332256e-05
cfrplus,9700,0.007767084572885372,1.821998445653006e-05
cfrplus,9800,0.008499392145504825,1.759640846626942e-05
cfrplus,9900,0.0059605927939990755,1.771661087991705e-05
cfrplus,10000,0.00407031063274213,1.7744920840195855e-05
raw_K200,1,4.69163928043962,
raw_K200,100,3.161292625867336,
raw_K200,200,3.1448511206553853,
raw_K200,300,2.2091227805874336,
raw_K200,400,2.1928471058638808,
raw_K200,500,1.5773145542535252,
raw_K200,600,1.5682068214854632,
raw_K200,700,1.2016752634910657,
raw_K200,800,1.1959972472092668,
raw_K200,900,1.0243401326400066,
raw_K200,1000,1.0198314910809556,
raw_K200,1100,0.9706115540472848,
raw_K200,1200,0.9670770931430532,
raw_K200,1300,0.9635111321182821,
raw_K200,1400,0.9599768808559552,
raw_K200,1500,0.9368961164468351,
raw_K200,1600,0.9335951315693827,
raw_K200,1700,0.9267522558169139,
raw_K200,1800,0.9237736211464376,
raw_K200,1900,0.9158247250948461,
raw_K200,2000,0.9138089068263304,
raw_K200,2100,0.9302385280425216,
raw_K200,2200,0.9282603717266084,
raw_K200,2300,0.9345931662474574,
raw_K200,2400,0.9326026258082837,
raw_K200,2500,0.9520518601957411,
raw_K200,2600,0.9489535366717813,
raw_K200,2700,0.9889420425948117,
raw_K200,2800,0.9846116541779669,
raw_K200,2900,0.9624741339693308,
raw_K200,3000,0.9580394709183966,
raw_K200,3100,0.8600741370767562,
raw_K200,3200,0.8561516644170727,
raw_K200,3300,0.7737453823940813,
raw_K200,3400,0.7700409292216437,
raw_K200,3500,0.6707169502251177,
raw_K200,3600,0.6685150112569782,
raw_K200,3700,0.6449184640743032,
raw_K200,3800,0.6439761913294024,
raw_K200,3900,0.6275689999653782,
raw_K200,4000,0.6273396026329887,
raw_K200,4100,0.624733443716303,
raw_K200,4200,0.6244998777976976,
raw_K200,4300,0.6294153267751548,
raw_K200,4400,0.6285557533650752,
raw_K200,4500,0.6340852606760199,
raw_K200,4600,0.632826413412463,
raw_K200,4700,0.6248798771685646,
raw_K200,4800,0.6233088859542673,
raw_K200,4900,0.6059274156102941,
raw_K200,5000,0.6039229705585261,
raw_K200,5100,0.6180929462241942,
raw_K200,5200,0.6159941645381006,
raw_K200,5300,0.6072182061760589,
raw_K200,5400,0.605308952191961,
raw_K200,5500,0.5820828196760176,
raw_K200,5600,0.5802954240292377,
raw_K200,5700,0.5374978143836383,
raw_K200,5800,0.5361579392794154,
raw_K200,5900,0.5027590393884894,
raw_K200,6000,0.5014470137114165,
raw_K200,6100,0.465062923487916,
raw_K200,6200,0.464429108429647,
raw_K200,6300,0.452077542420409,
raw_K200,6400,0.45164427098707627,
raw_K200,6500,0.4554250567406233,
raw_K200,6600,0.45498914062042883,
raw_K200,6700,0.4589981998863851,
raw_K200,6800,0.4594283892661732,
raw_K200,6900,0.499857018266505,
raw_K200,7000,0.5003005736063795,
raw_K200,7100,0.5508523494585585,
raw_K200,7200,0.551308395008506,
raw_K200,7300,0.5975557925825016,
raw_K200,7400,0.5978201177364953,
raw_K200,7500,0.6375563341154495,
raw_K200,7600,0.637692866920935,
raw_K200,7700,0.6805431657055158,
raw_K200,7800,0.6810981725661004,
raw_K200,7900,0.7339991269661168,
raw_K200,8000,0.7343336600021122,
raw_K200,8100,0.7772192697797042,
raw_K200,8200,0.7774822513293731,
raw_K200,8300,0.818005169305279,
raw_K200,8400,0.8180544632093196,
raw_K200,8500,0.8485456739223981,
raw_K200,8600,0.8483900433251481,
raw_K200,8700,0.8725053605403292,
raw_K200,8800,0.8722257630147928,
raw_K200,8900,0.8927307773098963,
raw_K200,9000,0.8923519098456791,
raw_K200,9100,0.9026912334797621,
raw_K200,9200,0.9021822452590016,
raw_K200,9300,0.9121610580197345,
raw_K200,9400,0.9117793136162786,
raw_K200,9500,0.9122982692228023,
raw_K200,9600,0.9118917543417451,
raw_K200,9700,0.9024325428097728,
raw_K200,9800,0.9020253483864697,
raw_K200,9900,0.884741057917534,
raw_K200,10000,0.8842761753790351,
norm_eta0.1_K200,1,4.580119662183052,
norm_eta0.1_K200,100,1.894529624769312,
norm_eta0.1_K200,200,1.7317426199393529,
norm_eta0.1_K200,300,1.2280691711819123,
norm_eta0.1_K200,400,1.1564492161920665,
norm_eta0.1_K200,500,0.8261772141071322,
norm_eta0.1_K200,600,0.7838564851316163,
norm_eta0.1_K200,700,0.6518779701070558,
norm_eta0.1_K200,800,0.6255624360804846,
norm_eta0.1_K200,900,0.5280365143026047,
norm_eta0.1_K200,1000,0.5096001330857107,
norm_eta0.1_K200,1100,0.48553589951577886,
norm_eta0.1_K200,1200,0.4844455650621482,
norm_eta0.1_K200,1300,0.5737072542108425,
norm_eta0.1_K200,1400,0.5551252263002401,
norm_eta0.1_K200,1500,0.5725392350974116,
norm_eta0.1_K200,1600,0.5502867230682045,
norm_eta0.1_K200,1700,0.6668977537193391,
norm_eta0.1_K200,1800,0.6651265458359648,
norm_eta0.1_K200,1900,0.7694200330616372,
norm_eta0.1_K200,2000,0.7364710102038841,
norm_eta0.1_K200,2100,0.6724699462587121,
norm_eta0.1_K200,2200,0.6060739180524084,
norm_eta0.1_K200,2300,0.5262122481388223,
norm_eta0.1_K200,2400,0.5014366538635089,
norm_eta0.1_K200,2500,0.4362696221329456,
norm_eta0.1_K200,2600,0.4230872463370668,
norm_eta0.1_K200,2700,0.43270461485015443,
norm_eta0.1_K200,2800,0.4214051986568156,
norm_eta0.1_K200,2900,0.45601586390301774,
norm_eta0.1_K200,3000,0.43515433076237126,
norm_eta0.1_K200,3100,0.4203871730209576,
norm_eta0.1_K200,3200,0.40917533022595715,
norm_eta0.1_K200,3300,0.4209223275787123,
norm_eta0.1_K200,3400,0.41428468778792915,
norm_eta0.1_K200,3500,0.3989662356282726,
norm_eta0.1_K200,3600,0.39073726053211794,
norm_eta0.1_K200,3700,0.3717343230273652,
norm_eta0.1_K200,3800,0.3662835268907779,
norm_eta0.1_K200,3900,0.3703058198828958,
norm_eta0.1_K200,4000,0.36661076573425316,
norm_eta0.1_K200,4100,0.3758911536856052,
norm_eta0.1_K200,4200,0.3723799617466151,
norm_eta0.1_K200,4300,0.3703797840810479,
norm_eta0.1_K200,4400,0.36701400444154997,
norm_eta0.1_K200,4500,0.3636134889074111,
norm_eta0.1_K200,4600,0.36198254182695755,
norm_eta0.1_K200,4700,0.3814781750254893,
norm_eta0.1_K200,4800,0.3821023328220363,
norm_eta0.1_K200,4900,0.4106542802377774,
norm_eta0.1_K200,5000,0.4109360628115136,
norm_eta0.1_K200,5100,0.430415631446154,
norm_eta0.1_K200,5200,0.42893635359256965,
norm_eta0.1_K200,5300,0.45027133022071175,
norm_eta0.1_K200,5400,0.44969464710337254,
norm_eta0.1_K200,5500,0.47321533020315565,
norm_eta0.1_K200,5600,0.4713264980353489,
norm_eta0.1_K200,5700,0.4824892040020129,
norm_eta0.1_K200,5800,0.48566079877259033,
norm_eta0.1_K200,5900,0.5547455571407021,
norm_eta0.1_K200,6000,0.5716614656101133,
norm_eta0.1_K200,6100,0.7346822549636487,
norm_eta0.1_K200,6200,0.7390207144441028,
norm_eta0.1_K200,6300,0.8279261669750044,
norm_eta0.1_K200,6400,0.8201315390079711,
norm_eta0.1_K200,6500,0.8541878615438367,
norm_eta0.1_K200,6600,0.8322807162900665,
norm_eta0.1_K200,6700,0.770879445342435,
norm_eta0.1_K200,6800,0.7670017401360197,
norm_eta0.1_K200,6900,0.8321256413571185,
norm_eta0.1_K200,7000,0.8293320867367522,
norm_eta0.1_K200,7100,0.9065518391754442,
norm_eta0.1_K200,7200,0.8867230112743582,
norm_eta0.1_K200,7300,0.9138274786087738,
norm_eta0.1_K200,7400,0.898481091509906,
norm_eta0.1_K200,7500,0.9300776045372606,
norm_eta0.1_K200,7600,0.9072753080212905,
norm_eta0.1_K200,7700,0.9335545860875746,
norm_eta0.1_K200,7800,0.8837917645919886,
norm_eta0.1_K200,7900,0.778560164934951,
norm_eta0.1_K200,8000,0.7336651570483155,
norm_eta0.1_K200,8100,0.5544427261812783,
norm_eta0.1_K200,8200,0.5307467321726813,
norm_eta0.1_K200,8300,0.3991200861859094,
norm_eta0.1_K200,8400,0.3982192158090805,
norm_eta0.1_K200,8500,0.39717417753190154,
norm_eta0.1_K200,8600,0.39004773238405355,
norm_eta0.1_K200,8700,0.37906742210537314,
norm_eta0.1_K200,8800,0.3760224597004358,
norm_eta0.1_K200,8900,0.37056386054452145,
norm_eta0.1_K200,9000,0.36707210241844346,
norm_eta0.1_K200,9100,0.38883960469509493,
norm_eta0.1_K200,9200,0.3874303086903562,
norm_eta0.1_K200,9300,0.39483958354747384,
norm_eta0.1_K200,9400,0.38925754524087885,
norm_eta0.1_K200,9500,0.39311064097742054,
norm_eta0.1_K200,9600,0.3899662418738803,
norm_eta0.1_K200,9700,0.40438948824788523,
norm_eta0.1_K200,9800,0.40379814778720247,
norm_eta0.1_K200,9900,0.4283611049909464,
norm_eta0.1_K200,10000,0.42384810031533515,
norm_eta0.2_K200,1,4.46012002132558,
norm_eta0.2_K200,100,1.731663555323982,
norm_eta0.2_K200,200,1.727272163242609,
norm_eta0.2_K200,300,1.1498779318561199,
norm_eta0.2_K200,400,1.1424968404846243,
norm_eta0.2_K200,500,0.769479306904477,
norm_eta0.2_K200,600,0.7633107965442755,
norm_eta0.2_K200,700,0.609883987397065,
norm_eta0.2_K200,800,0.6055322768880694,
norm_eta0.2_K200,900,0.4937740337370343,
norm_eta0.2_K200,1000,0.49098624841822325,
norm_eta0.2_K200,1100,0.4704641326999732,
norm_eta0.2_K200,1200,0.46564539819744843,
norm_eta0.2_K200,1300,0.527446755335828,
norm_eta0.2_K200,1400,0.523557917774635,
norm_eta0.2_K200,1500,0.5299906291048467,
norm_eta0.2_K200,1600,0.5269132397129839,
norm_eta0.2_K200,1700,0.6390199469837088,
norm_eta0.2_K200,1800,0.6311710040106402,
norm_eta0.2_K200,1900,0.6449480946045814,
norm_eta0.2_K200,2000,0.6383355794438604,
norm_eta0.2_K200,2100,0.508593602985659,
norm_eta0.2_K200,2200,0.508263174825734,
norm_eta0.2_K200,2300,0.40936835866904697,
norm_eta0.2_K200,2400,0.40812854343105764,
norm_eta0.2_K200,2500,0.38418678416811847,
norm_eta0.2_K200,2600,0.38442728193454756,
norm_eta0.2_K200,2700,0.3861463075887275,
norm_eta0.2_K200,2800,0.38358411579316654,
norm_eta0.2_K200,2900,0.37467954106816287,
norm_eta0.2_K200,3000,0.3735297889162711,
norm_eta0.2_K200,3100,0.393065800777785,
norm_eta0.2_K200,3200,0.3917569776472569,
norm_eta0.2_K200,3300,0.3896877368123102,
norm_eta0.2_K200,3400,0.3885762696598887,
norm_eta0.2_K200,3500,0.3602368971446829,
norm_eta0.2_K200,3600,0.35956341289087307,
norm_eta0.2_K200,3700,0.35848132578430386,
norm_eta0.2_K200,3800,0.3578719728693411,
norm_eta0.2_K200,3900,0.35537464494111726,
norm_eta0.2_K200,4000,0.35486873024635923,
norm_eta0.2_K200,4100,0.3539234397986527,
norm_eta0.2_K200,4200,0.3534471126118175,
norm_eta0.2_K200,4300,0.3430113895157082,
norm_eta0.2_K200,4400,0.3427049586022912,
norm_eta0.2_K200,4500,0.35649043675177217,
norm_eta0.2_K200,4600,0.35617305202776006,
norm_eta0.2_K200,4700,0.38342270397666633,
norm_eta0.2_K200,4800,0.38337454459524956,
norm_eta0.2_K200,4900,0.39968651601194816,
norm_eta0.2_K200,5000,0.39944474918697176,
norm_eta0.2_K200,5100,0.4183379866963818,
norm_eta0.2_K200,5200,0.41751614053099684,
norm_eta0.2_K200,5300,0.4251231461241165,
norm_eta0.2_K200,5400,0.4245217936727279,
norm_eta0.2_K200,5500,0.4531955368281534,
norm_eta0.2_K200,5600,0.45357978614868844,
norm_eta0.2_K200,5700,0.5091055599810026,
norm_eta0.2_K200,5800,0.509030384064707,
norm_eta0.2_K200,5900,0.6231177510050541,
norm_eta0.2_K200,6000,0.6208634433144771,
norm_eta0.2_K200,6100,0.7171812980631058,
norm_eta0.2_K200,6200,0.7134469970278017,
norm_eta0.2_K200,6300,0.7442163136531241,
norm_eta0.2_K200,6400,0.7407565848788672,
norm_eta0.2_K200,6500,0.7235239882998301,
norm_eta0.2_K200,6600,0.7251858258258079,
norm_eta0.2_K200,6700,0.7848655016061827,
norm_eta0.2_K200,6800,0.7854412441048922,
norm_eta0.2_K200,6900,0.8738651679049562,
norm_eta0.2_K200,7000,0.8701427708606279,
norm_eta0.2_K200,7100,0.8859564465150902,
norm_eta0.2_K200,7200,0.8830661301193599,
norm_eta0.2_K200,7300,0.896680891141215,
norm_eta0.2_K200,7400,0.8917446640741515,
norm_eta0.2_K200,7500,0.8684169229985279,
norm_eta0.2_K200,7600,0.8641524598244552,
norm_eta0.2_K200,7700,0.7172425525138932,
norm_eta0.2_K200,7800,0.7187743333983011,
norm_eta0.2_K200,7900,0.5316244750739098,
norm_eta0.2_K200,8000,0.5326059611197458,
norm_eta0.2_K200,8100,0.4112696142708775,
norm_eta0.2_K200,8200,0.41219194522252733,
norm_eta0.2_K200,8300,0.37117300389428076,
norm_eta0.2_K200,8400,0.3706572821935795,
norm_eta0.2_K200,8500,0.36670702301684177,
norm_eta0.2_K200,8600,0.36561907536194144,
norm_eta0.2_K200,8700,0.37948393213110526,
norm_eta0.2_K200,8800,0.3779290282807237,
norm_eta0.2_K200,8900,0.37484177920145934,
norm_eta0.2_K200,9000,0.37317559397206523,
norm_eta0.2_K200,9100,0.3819967789887633,
norm_eta0.2_K200,9200,0.3810712053311824,
norm_eta0.2_K200,9300,0.3899591956512316,
norm_eta0.2_K200,9400,0.38963296657815033,
norm_eta0.2_K200,9500,0.41012454686350464,
norm_eta0.2_K200,9600,0.40909644071626405,
norm_eta0.2_K200,9700,0.4161996570016653,
norm_eta0.2_K200,9800,0.41506248961357406,
norm_eta0.2_K200,9900,0.40692487217364837,
norm_eta0.2_K200,10000,0.4058637948695897,
norm_eta0.2_K500,1,4.46012002132558,
norm_eta0.2_K500,100,1.731663555323982,
norm_eta0.2_K500,200,1.727272163242609,
norm_eta0.2_K500,300,1.7273758961523478,
norm_eta0.2_K500,400,1.727376705749073,
norm_eta0.2_K500,500,1.7273767343713733,
norm_eta0.2_K500,600,1.1498519375852532,
norm_eta0.2_K500,700,1.1424716295141535,
norm_eta0.2_K500,800,1.1424988755029544,
norm_eta0.2_K500,900,1.1424983647941709,
