episode,nc_last
1,4.777759
4000,2.4396596
8000,1.3187441
12000,1.1074448
16000,1.0402895
20000,1.0406079
24000,0.9891985
28000,1.1662235
32000,1.2990489
36000,1.411135
40000,1.359202
44000,1.5574131
48000,1.5691702
52000,1.6263711
56000,1.6866302
60000,1.6981213
64000,1.7564352
68000,1.7626183
72000,1.7210174
76000,1.7350051
80000,1.7437162
84000,1.6945913
88000,1.6581172
92000,1.6205866
96000,1.6138369
100000,1.5890005
104000,1.5939841
108000,1.6407628
112000,1.6446555
116000,1.6360774
120000,1.6576306
124000,1.6472126
128000,1.6392454
132000,1.6514417
136000,1.6489584
140000,1.6561197
144000,1.6527966
148000,1.6397619
152000,1.6082027
156000,1.5672393
160000,1.5490587
164000,1.5050313
168000,1.4784358
172000,1.3803872
176000,1.3053768
180000,1.2448826
184000,1.1951166
188000,1.1702797
192000,1.1679267
196000,1.1673934
200000,1.1456523
204000,1.1508337
208000,1.1251522
212000,1.1286918
216000,1.0919449
220000,1.0862545
224000,1.0658717
228000,1.063299
232000,1.0019008
236000,0.98926985
240000,0.9799823
244000,0.9889962
248000,0.99366015
252000,0.98587525
256000,0.9779376
260000,0.9609613
264000,0.9616424
268000,0.9659903
272000,0.9721282
276000,0.96567667
280000,0.96001714
284000,0.9604893
288000,0.96403897
292000,0.96523106
296000,0.9601102
300000,0.96409726
304000,0.96860206
308000,0.9717915
312000,0.96615946
316000,0.9694915
320000,0.9701821
324000,0.9732102
328000,0.98519754
332000,0.98507357
336000,1.0034884
340000,1.0277957
344000,1.0369842
348000,1.0346096
352000,1.0371317
356000,1.045111
360000,1.06095
364000,1.056706
368000,1.0602938
372000,1.0651625
376000,1.0859138
380000,1.0841739
384000,1.097784
388000,1.1174245
392000,1.1272473
396000,1.136502
400000,1.1596661
