episode,eta,distill_steps,kl_fit,l1_fit,interference_l1,q_rmse
16,0.5,20,0.0004913719894830137,0.025792237371206284,0.14022939652204514,1.24307
32,0.5,20,0.0004525145050138235,0.025336945056915285,0.09669800102710724,1.1195196
48,0.5,20,0.0008474682457745075,0.033972767740488054,0.0840030163526535,1.114355
64,0.5,20,0.0001691007986664772,0.011996355652809144,0.16260696947574615,1.0033966
80,0.5,20,0.0008366087762018045,0.026766352769401338,0.04841407140096029,0.98834383
96,0.5,20,0.0004707171719928738,0.014270508661866188,0.06547616422176361,0.9555996
112,0.5,20,0.00018578861717186455,0.011515371397965483,0.04027565817038218,0.9323994
128,0.5,20,0.00014804669553996063,0.011538270255550742,0.04773508012294769,0.97754604
144,0.5,20,0.00029262955649755895,0.013270262104924768,0.04015563614666462,1.0081631
160,0.5,20,0.0013533395394915715,0.026004901621490717,0.12316159345209599,1.0202856
176,0.5,20,0.0006682077364530414,0.02085520930995699,0.05226502846926451,1.0240095
192,0.5,20,0.0013788849593968028,0.025067627378222015,0.12383246421813965,1.0189396
208,0.5,20,0.000415644401073223,0.015994257635611575,0.040827257093042135,1.003212
224,0.5,20,0.00020769481731501097,0.011806315144187667,0.12002361317475636,0.96562845
240,0.5,20,0.0006581412607273604,0.022815291359115183,0.010499956901185215,0.96400255
256,0.5,20,0.0002487238175490347,0.014355209586938145,0.003738038707524538,0.95857304
272,0.5,20,0.0009285288862884045,0.023588008619844912,0.0006774455105187371,0.95317835
288,0.5,20,0.0010983322599713574,0.030545028666892904,0.09620597897446714,0.9530395
304,0.5,20,0.0002725059425251351,0.01882940282424291,0.02840651751224262,0.96353173
320,0.5,20,0.0015526539521358376,0.03169004538046595,0.09209486683830619,0.97633386
336,0.5,20,0.0004324067358538741,0.018894179464041372,0.08278713814797811,0.96422017
352,0.5,20,0.0003586954699130729,0.0164074944332242,0.043267748245853,0.94513553
368,0.5,20,0.00031765535499693616,0.01789425608553251,0.0379734062589705,0.9537272
384,0.5,20,0.0002800501442834502,0.013055177594651468,0.10272355411143508,0.9643385
400,0.5,20,0.0002753836124611553,0.015251350374455797,0.06414657295681536,0.95590377
416,0.5,20,0.00010526317904198852,0.007376454304903746,0.01683439158659894,0.9573552
432,0.5,20,0.00023659450068537678,0.012602493200185043,0.016822499397676438,0.955512
448,0.5,20,0.00044415398297132925,0.017826396418968216,0.1193862728541717,0.9526928
464,0.5,20,0.00021248479424684774,0.011090388041338883,0.07308231259230524,0.9720101
480,0.5,20,0.00020682027616203413,0.009779699681530474,0.018076146516250446,0.96714866
496,0.5,20,0.0003306346014950476,0.009442626070166524,0.04118667292641476,0.9689611
512,0.5,20,0.0002445452771806029,0.01014348504274191,0.027346553455572575,0.9673941
528,0.5,20,0.00025153484421025496,0.008269196259789169,0.041867499719046464,0.9570016
544,0.5,20,0.0001672738779790153,0.008338579667502522,0.0014357964682858437,0.94838953
560,0.5,20,0.00020754650579775103,0.010248738434165716,0.00046422861487371847,0.96256673
576,0.5,20,0.0003045367274252284,0.010888322993802527,0.01663134324674805,0.96327883
592,0.5,20,0.0008081989653874189,0.022599237599125546,0.002267354565750187,0.96108913
608,0.5,20,0.0004978154805333664,0.015814724067846935,0.012399347566921884,0.9662831
624,0.5,20,0.00033715319659677334,0.01081745196133852,5.983371738693677e-05,0.9648118
640,0.5,20,0.000538775723271101,0.013333695940673351,0.006209944607689977,0.96223956
656,0.5,20,0.00027194332020978135,0.009904613097508749,0.07968171714310301,0.95708245
672,0.5,20,0.0001491234652348794,0.007754981284961104,0.042574279874315835,0.95780003
688,0.5,20,0.0006559974410467678,0.018011305895116594,0.018369843640054267,0.936418
704,0.5,20,0.00018381451289834722,0.009330419557435172,0.03229784416034818,0.9298401
720,0.5,20,0.0002806020413117949,0.013665872067213059,0.005879417294636369,0.9173043
736,0.5,20,0.00029321664219929115,0.01202960250278314,0.024592861533164978,0.91629225
752,0.5,20,0.00012891009027953259,0.00856644354062155,0.031342668808065355,0.91630876
768,0.5,20,0.0008044033544138074,0.024886808544397353,0.005787442438304424,0.91991395
