alg,iter,nc_last,nc_avg
cfr,1,5.1577041242562185,4.747222222222224
cfr,25,1.6798507302254997,1.661664208156215
cfr,50,2.8443793921305653,1.3414387673580783
cfr,75,2.8512766217371825,1.2668803098073103
cfr,100,2.7328307828613045,1.2032409261553896
cfr,125,2.2386021365659037,1.2784043480226657
cfr,150,2.744135524132199,1.2044950676679902
cfr,175,2.3784481138378823,1.181740800084319
cfr,200,2.791261432893617,1.111482158975388
cfr,225,2.5955239612712626,1.0331267594899147
cfr,250,2.912191765163344,1.0490445217143687
cfr,275,1.5728353756391897,1.0324661861456335
cfr,300,4.115693140905147,0.9632314539586684
cfrplus,1,4.102222222222222,4.102222222222222
cfrplus,25,0.3326229913993367,0.23144979522637518
cfrplus,50,0.22552296042397524,0.08473912022442825
cfrplus,75,0.13407076333495976,0.0496416951544089
cfrplus,100,0.09639681691234508,0.030165374253143237
cfrplus,125,0.17309373042440493,0.025713052916239
cfrplus,150,0.08845806648293901,0.019628871496769743
cfrplus,175,0.05674940603139723,0.016328827056754064
cfrplus,200,0.06322757012448713,0.015420902289908486
cfrplus,225,0.04944653704976443,0.013513772738629914
cfrplus,250,0.04286517616903772,0.012638407512448921
cfrplus,275,0.04529119131693797,0.012127284241393713
cfrplus,300,0.058077972874598954,0.008622524824320424
acfr_K100,1,4.69163928043962,
acfr_K100,25,3.8587550474522287,
acfr_K100,50,3.3746926032673503,
acfr_K100,75,3.2108812515276997,
acfr_K100,100,3.161292625867336,
acfr_K100,125,2.6011787000278432,
acfr_K100,150,2.3669879896834565,
acfr_K100,175,2.264255053097852,
acfr_K100,200,2.225661940877716,
acfr_K100,225,1.8259263577346385,
acfr_K100,250,1.6718017143660142,
acfr_K100,275,1.6159065583754282,
acfr_K100,300,1.594693477058898,
acfr_ema,1,4.69163928043962,
acfr_ema,25,3.841839833346139,
acfr_ema,50,3.277818572838088,
acfr_ema,75,2.966264198256719,
acfr_ema,100,2.7320469509030527,
acfr_ema,125,2.5407418193751283,
acfr_ema,150,2.367151155973291,
acfr_ema,175,2.1974116397181964,
acfr_ema,200,2.042397291415213,
acfr_ema,225,1.9044333855056106,
acfr_ema,250,1.7773971239607316,
acfr_ema,275,1.6588407393588716,
acfr_ema,300,1.5651880590356904,
