alg,episode,nc_last
tabular,1,4.747222222222224
tabular,8000,2.0460727519276305
tabular,16000,1.993379075755731
tabular,24000,2.075369960484221
tabular,32000,1.7616486009687677
tabular,40000,1.6660543618984422
tabular,48000,1.7067343813841596
tabular,56000,1.7741208734649958
tabular,64000,1.8489857196509718
tabular,72000,1.7347286514413427
tabular,80000,1.6043406772210638
tabular,88000,1.6047497606852745
tabular,96000,1.5169781534573574
tabular,104000,1.9050592315791781
tabular,112000,1.8153014713792146
tabular,120000,1.7182749828853572
tabular,128000,1.6557750524650747
tabular,136000,1.7403957054019759
tabular,144000,1.675334886403136
tabular,152000,1.6576581768050918
tabular,160000,1.5913331102945438
tabular,168000,1.7125502710232625
tabular,176000,1.726164541976447
tabular,184000,1.774994876351468
tabular,192000,1.8152840136599508
tabular,200000,1.8350509535031905
tabular,208000,1.8287092606613293
tabular,216000,1.819452433429685
tabular,224000,1.8693494488210987
tabular,232000,1.8699127099637345
tabular,240000,1.794950029137122
tabular,248000,1.6293112819484543
tabular,256000,1.667842426983748
tabular,264000,1.6386706901706185
tabular,272000,1.589319442881044
tabular,280000,1.4681851163366162
tabular,288000,1.5047055859745622
tabular,296000,1.4054402843645275
tabular,304000,1.3469654794190116
tabular,312000,1.3550428131209382
tabular,320000,1.3720298442258367
tabular,328000,1.37857722018689
tabular,336000,1.3822014559241134
tabular,344000,1.4231187105017868
tabular,352000,1.4325801468792023
tabular,360000,1.402507054188379
tabular,368000,1.427103914692643
tabular,376000,1.3733074098865194
tabular,384000,1.361914013252833
tabular,392000,1.3699941889339602
tabular,400000,1.3937902808019973
