episode,eta,kl_fit,interference_l1,q_rmse
128,0.5,0.0031446541762233703,0.08050000341377449,5.6035094
256,0.5,0.001701469187779973,0.1422671326483139,5.553558
384,0.5,0.001736328015165502,0.12312103524480177,5.1402106
512,0.5,0.001081060439556543,0.08360219368508442,5.0221806
640,0.5,0.0006082510651911527,0.09846336907889855,5.0666585
768,0.5,0.0005937433822757819,0.06892551254481077,5.193426
896,0.5,0.00037446193148733733,0.08274726005098254,5.60626
1024,0.5,0.0004052079177122226,0.07686182018369436,5.1373043
1152,0.5,0.0003669937056353471,0.0763329161660901,4.9612164
1280,0.5,0.00025134279586733226,0.06581091541637552,5.032123
1408,0.5,0.00024829294917514864,0.07279039784907339,4.911047
1536,0.5,0.0001860866483184509,0.07828499525389139,4.9346294
1664,0.5,0.00034332328997108906,0.057305303229212436,4.8745604
1792,0.5,0.00041249225771910434,0.0652465211664258,4.971966
1920,0.5,0.0003130959163478686,0.06520664665218004,4.9475565
2048,0.5,0.00030845106753726474,0.06572620816724865,2.6976197
2176,0.5,0.0002036359397607157,0.05382361703123798,2.7073405
2304,0.5,0.0002264237030435477,0.04537584834349179,2.6388352
2432,0.5,0.00018438034706615207,0.06540937686478006,2.6528056
2560,0.5,0.00021314355182553031,0.050294032796153514,2.634046
2688,0.5,0.00017057069361823909,0.039691594686652044,2.5722446
2816,0.5,0.00024876783324619584,0.04781976004227081,2.6554863
2944,0.5,0.0001910412823243723,0.0400548071547902,2.8220122
3072,0.5,0.00012538280551435208,0.03455006213620373,2.8004181
3200,0.5,0.00010064288373384373,0.033579505607008286,2.535896
3328,0.5,0.00012337775231846432,0.03463811419423094,2.6569607
3456,0.5,0.00012030889191517925,0.043560130132595604,2.9021292
3584,0.5,0.00040792997690265205,0.051372434458539215,2.5850494
3712,0.5,0.00013157059889636004,0.03855118563204757,2.6518795
3840,0.5,0.00016830286503960142,0.03604686622848296,2.762081
3968,0.5,0.00017305685645396807,0.03490221301881294,2.6394315
4096,0.5,0.00013739284509083606,0.03313805601282104,2.189186
4224,0.5,0.00016084873682118618,0.04122841580313439,2.411095
4352,0.5,0.00013535625825431802,0.03476229994280729,2.225937
4480,0.5,8.982783025422868e-05,0.03360079806068583,1.9867504
4608,0.5,0.0001472515627541433,0.026269674227660633,2.0821173
4736,0.5,0.00022379878951358565,0.028084225943548112,1.936445
4864,0.5,8.642935118401014e-05,0.03297431818317269,1.9817206
4992,0.5,7.385715798591264e-05,0.030755148735013494,2.1505718
5120,0.5,0.00011563567157281796,0.02607016251882762,2.2033925
5248,0.5,5.744367323072358e-05,0.028122951215846615,2.2227294
5376,0.5,9.61310367727617e-05,0.021951727695370505,2.171785
5504,0.5,5.385294428650895e-05,0.02296399198861854,1.9270738
5632,0.5,8.80296662963722e-05,0.023951755292376916,2.1938062
5760,0.5,5.9108683216321765e-05,0.021829869776094562,1.7161539
5888,0.5,6.292614730425512e-05,0.022115832311733766,1.63814
6016,0.5,0.00013220221568099077,0.02789608804038178,1.3641257
6144,0.5,7.58568729087829e-05,0.02071434685501099,1.2783227
6272,0.5,5.863788051823933e-05,0.023296410344018102,1.1365095
6400,0.5,7.700716485313564e-05,0.025552373239704964,1.2254043
6528,0.5,7.110112552195078e-05,0.018900485615015627,1.0689945
6656,0.5,3.953717896458195e-05,0.01691281294932545,1.064456
6784,0.5,6.749385389628804e-05,0.024653392717357222,1.1015143
6912,0.5,7.108047955791644e-05,0.023690536878550557,1.1355003
7040,0.5,5.5234595859765534e-05,0.01816815218389438,1.150177
7168,0.5,3.7148167195357694e-05,0.01750003407400062,1.1219289
7296,0.5,6.843086155628751e-05,0.015497792431160637,1.1455016
7424,0.5,3.0401518988057586e-05,0.014087018777456621,1.0748687
7552,0.5,5.161733082624263e-05,0.020139425636723385,1.0415175
7680,0.5,3.788984366225707e-05,0.018947294398540857,1.0656571
7808,0.5,3.0901299629348955e-05,0.015290949904977494,1.1337632
7936,0.5,4.203149520382459e-05,0.020004365165431137,1.1458102
8064,0.25,1.4459065090040696e-05,0.008449957000714648,1.1452729
