episode,nc_last
1,4.732258
4000,3.199015
8000,2.8583004
12000,2.1233468
16000,2.060202
20000,1.7617627
24000,1.8462796
28000,1.7830446
32000,1.5918039
36000,1.3554001
40000,1.3225145
44000,1.3011665
48000,1.246197
52000,1.259794
56000,1.0776726
60000,1.1032057
64000,1.0941399
68000,0.9648491
72000,0.93712974
76000,0.9210608
80000,0.92896235
84000,0.8720591
88000,0.9127834
92000,0.859369
96000,0.8671214
100000,0.80546725
104000,0.7857206
108000,0.7589049
112000,0.76263064
116000,0.775053
120000,0.7660344
124000,0.7689198
128000,0.76421916
132000,0.7198225
136000,0.7003883
140000,0.72742105
144000,0.67930824
148000,0.6495976
152000,0.7031594
156000,0.69076717
160000,0.66352004
164000,0.71209204
168000,0.7039733
172000,0.6706489
176000,0.60627544
180000,0.5901308
184000,0.60991216
188000,0.62220407
192000,0.62556833
196000,0.5968638
200000,0.5901051
204000,0.5998773
208000,0.61975
212000,0.606465
216000,0.55561614
220000,0.6009108
224000,0.59892684
228000,0.5877543
232000,0.5911536
236000,0.5937014
240000,0.62242174
244000,0.58757716
248000,0.5926269
252000,0.55083483
256000,0.5742331
260000,0.57834643
264000,0.57272124
268000,0.5721195
272000,0.55642354
276000,0.55283856
280000,0.5406071
284000,0.5176912
288000,0.53086054
292000,0.5349749
296000,0.5632047
300000,0.56244695
304000,0.55779964
308000,0.55085886
312000,0.59671736
316000,0.597142
320000,0.5483576
324000,0.5591589
328000,0.51415
332000,0.5446694
336000,0.52980846
340000,0.53028584
344000,0.5152032
348000,0.5190446
352000,0.5193823
356000,0.51476747
360000,0.49844903
364000,0.49688518
368000,0.49345803
372000,0.5120518
376000,0.5252799
380000,0.55785793
384000,0.5591328
388000,0.5338086
392000,0.51406467
396000,0.56425554
400000,0.55910623
