episode,eta,kl_fit,interference_l1,q_rmse
64,0.5,0.0002599052095320076,0.0,0.9510566
128,0.5,0.0010894593918540825,0.0,0.92926484
192,0.5,0.0005136462738543438,0.0,0.88016444
256,0.5,0.0003855024284954804,0.0,0.92203224
320,0.5,8.331675295873235e-05,0.0,0.9243702
384,0.5,0.00024040146672632545,0.0,0.9414646
448,0.5,0.00015981245087459683,0.0,0.9352066
512,0.5,0.0002768324751135272,0.0,0.9222273
576,0.5,0.0001177940757770557,0.0,0.92471033
640,0.5,0.0005324245624554654,0.0,0.9435614
704,0.5,0.00016829141399780795,0.23674753308296204,0.94473845
768,0.5,0.00015933479896072336,0.0,0.9371496
832,0.5,6.695789609996912e-05,0.0,0.93446493
896,0.5,6.183125621343304e-05,0.0,0.92412627
960,0.5,3.661747985006514e-05,0.0,0.91905105
1024,0.5,0.00015947952942951815,0.0,0.8981292
1088,0.5,0.0003370746827303347,0.00047023186925798655,0.9218162
1152,0.5,0.0002457814646380608,0.0008988612098619342,0.9089843
1216,0.5,4.079986990487586e-05,0.0002708379179239273,0.9103384
1280,0.5,0.00022929606378359799,0.0,0.9084363
1344,0.5,0.00018646026607408808,0.0,0.931747
1408,0.5,0.00010191211617893714,0.0,0.9202262
1472,0.5,0.00016808801107496643,0.0,0.9152397
1536,0.5,0.00030795050649127614,0.0,0.90174484
1600,0.5,8.331774961334304e-05,0.0,0.89010924
1664,0.5,0.00017808903877184176,2.8391554224072024e-05,0.8805335
1728,0.5,9.518262364012612e-05,7.915285823401064e-05,0.8710408
1792,0.5,7.38960746578717e-05,0.0,0.876518
1856,0.5,0.0003409826455632962,0.0,0.90248907
1920,0.5,0.00019289466467853345,0.0,0.8874646
1984,0.5,0.00027972025104232176,6.794295768486336e-05,0.8782954
2048,0.5,0.00019782372641922544,0.0,0.41758522
2112,0.5,0.00020455777261455901,0.0,0.33321625
2176,0.5,0.00012007697860857054,0.0,0.26686773
2240,0.5,0.00012087268992407492,0.0,0.2604008
2304,0.5,2.894815386866867e-05,0.0,0.25703946
2368,0.5,7.63733574784542e-05,0.0,0.2502261
2432,0.5,0.00012328142900680012,2.559215545261395e-06,0.24808864
2496,0.5,3.739456433038413e-05,0.0,0.24636228
2560,0.5,0.00011519678018127404,0.0,0.24197452
2624,0.5,3.7804690851895763e-05,3.112446165687288e-06,0.2373324
2688,0.5,8.149802664547678e-05,0.0,0.23564431
2752,0.5,4.566132869595921e-05,4.482528765947791e-07,0.2352281
2816,0.5,2.5268573009188085e-05,2.0344180029496783e-07,0.23834887
2880,0.5,9.228305435209967e-05,3.8864072848809883e-07,0.24186103
2944,0.5,8.163259560040552e-05,1.4732644331161282e-06,0.23724993
3008,0.5,8.654195043433788e-05,0.0,0.2394119
3072,0.5,2.70582587707698e-05,0.0,0.24409422
3136,0.5,8.243374690053429e-05,0.0,0.25664854
3200,0.5,0.000165594568221133,4.47730599262286e-07,0.27227587
3264,0.5,5.3581404472424765e-05,0.013743822338710743,0.25690398
3328,0.5,2.0587362750272103e-05,0.0,0.2527393
3392,0.5,6.356840621416875e-05,0.0,0.25467765
3456,0.5,2.813818465793619e-05,1.250251898454735e-06,0.26074654
3520,0.5,0.0017538641722486166,0.0,0.27685386
3584,0.5,9.128648423484265e-05,9.826452469496871e-07,0.2784056
3648,0.5,0.00017203795709974656,0.0,0.26892138
3712,0.5,6.466905103626648e-05,0.0,0.2667727
3776,0.5,2.707909024716552e-05,0.0,0.27180395
3840,0.5,0.00012326651859121776,0.0,0.2750759
3904,0.5,4.2179460928437607e-05,0.0,0.29000354
3968,0.5,0.00023214875909142543,0.0,0.3051832
4032,0.5,0.00012153591140891724,0.0,0.07578135
4096,0.5,8.170468751937203e-05,0.0,0.09086348
4160,0.5,0.00010102125193611755,0.0,0.10286048
4224,0.5,8.474343805649671e-05,0.0,0.049271338
4288,0.5,4.6071301056826997e-05,0.0,0.044355873
4352,0.5,0.00013277023339419713,0.0,0.03229412
4416,0.5,9.06776456067367e-05,0.0,0.044692688
4480,0.5,4.021000836651467e-05,0.0,0.05571556
4544,0.5,1.776447163711244e-05,0.0,0.06329853
4608,0.5,2.517249343962173e-05,0.0,0.11660335
4672,0.5,4.3907421333718354e-05,0.0,0.090920955
4736,0.5,8.185130427307286e-05,0.0,0.10783919
4800,0.5,7.609130852692658e-05,0.0,0.11930415
4864,0.5,3.585085389219826e-05,1.5961372810124885e-06,0.14128281
4928,0.5,5.869510254422986e-05,0.0,0.18060304
4992,0.5,6.774277534186506e-05,0.0,0.19703916
5056,0.5,4.548201763891294e-05,0.0,0.18807252
5120,0.5,6.613499645027331e-05,7.630141425352122e-07,0.1748222
5184,0.5,2.6528501375754455e-05,0.005474843084812164,0.16245954
5248,0.5,3.478687406518096e-05,0.0,0.1577744
5312,0.5,2.8954969865324642e-05,0.0,0.1534802
5376,0.5,3.4215671503674955e-05,1.7791874995509716e-07,0.15256181
5440,0.5,0.00010410075093177558,0.0,0.13640606
5504,0.5,4.987988613169847e-05,0.0,0.12771465
5568,0.5,6.50673166970132e-05,0.0,0.130819
5632,0.5,7.388339011763871e-05,0.0,0.13213344
5696,0.5,0.00010718996063277783,9.307669301961141e-09,0.11792031
5760,0.5,3.59161234063284e-05,0.0,0.10918096
5824,0.5,5.80970332203871e-05,0.0,0.09401572
5888,0.5,4.076045373195095e-05,0.0,0.09978554
5952,0.5,6.672425870006423e-05,7.772425902885516e-08,0.09464253
6016,0.5,3.965368602957634e-05,0.0,0.038091842
6080,0.5,4.663945436401594e-05,2.3362589729458705e-07,0.040194444
6144,0.5,5.3466667673992184e-05,0.0,0.03042679
6208,0.5,0.00012768910283493065,0.0,0.05627107
6272,0.5,0.00010265751452400515,4.970465852238704e-07,0.057941105
6336,0.5,5.504894201764769e-05,6.363050033542095e-07,0.04982268
6400,0.5,1.4734093598695546e-05,4.5327468001232774e-08,0.031315077
6464,0.5,0.00010414590745064991,3.080043597947224e-07,0.043872636
6528,0.5,8.472127761933734e-05,2.4574389385634277e-06,0.042881995
6592,0.5,0.00015394861165160282,6.996129400249629e-07,0.06041773
6656,0.5,8.218954334324736e-05,4.590870332776831e-07,0.049426023
6720,0.5,0.00013704476707824634,0.0,0.048641838
6784,0.5,3.810145709725145e-05,1.982805315492442e-07,0.059837647
6848,0.5,0.0001135142177097557,2.492822090971458e-07,0.06512021
6912,0.5,7.476526247852566e-05,1.965516389645927e-07,0.075826645
6976,0.5,4.81496934102407e-05,2.4350526928174077e-08,0.07322958
7040,0.5,2.4846355022608197e-05,0.0,0.06827391
7104,0.5,2.7062360944993006e-05,6.927625690877903e-07,0.07548103
