alg,episode,nc_last
neural_features,1,1.7033914140270863
neural_features,8000,1.2380400994935727
neural_features,16000,0.7880586500871751
neural_features,24000,1.4389219115530283
neural_features,32000,0.9762742031567344
neural_features,40000,0.6446328890951318
neural_features,48000,0.7913609357479814
neural_features,56000,0.6660475559531926
neural_features,64000,0.7264321442103373
neural_features,72000,0.723783987740728
neural_features,80000,0.7145593352487012
neural_features,88000,0.7934446656871965
neural_features,96000,0.7958987929538421
neural_features,104000,0.7792647355461942
neural_features,112000,0.8224370968758643
neural_features,120000,0.7515989470521206
neural_features,128000,0.6841874485171662
neural_features,136000,0.7099191401816606
neural_features,144000,0.6562262968605552
neural_features,152000,0.5849798492685446
neural_features,160000,0.7549888183765177
neural_features,168000,0.9481740491893876
neural_features,176000,0.8123365217389726
neural_features,184000,0.8354628629701752
neural_features,192000,0.9064334141866321
neural_features,200000,0.6572818572721593
neural_features,208000,0.7082184047496628
neural_features,216000,0.5837625049765449
neural_features,224000,0.6228884459628217
neural_features,232000,0.4320738575135994
neural_features,240000,0.6475111674059896
neural_features,248000,0.6956030521358743
neural_features,256000,0.618912218087565
neural_features,264000,0.686198463609648
neural_features,272000,0.8033379316248538
neural_features,280000,0.7502755424611451
neural_features,288000,0.7337399913269851
neural_features,296000,0.7427572496234548
neural_features,304000,0.5842764572922713
neural_features,312000,0.7572181977837937
neural_features,320000,0.8011649090589767
neural_features,328000,0.8058986734280303
neural_features,336000,0.9108040766608041
neural_features,344000,0.8457409688130713
neural_features,352000,0.7768310291181342
neural_features,360000,0.6920764078009624
neural_features,368000,0.5502530067730118
neural_features,376000,0.6037528833557956
neural_features,384000,0.6719133725641352
neural_features,392000,0.6444841620119472
neural_features,400000,0.7225052925236699
