episode,nc_last
1,4.7632303
4000,2.7847853
8000,2.4140413
12000,2.1913545
16000,1.8040925
20000,1.6577082
24000,1.7106367
28000,1.5768269
32000,1.4982933
36000,1.3162415
40000,1.241472
44000,1.3006203
48000,1.129282
52000,1.1013919
56000,1.0216658
60000,1.04231
64000,0.9617056
68000,0.90991634
72000,0.869
76000,0.92166096
80000,0.9062232
84000,0.83628905
88000,0.7831726
92000,0.80219865
96000,0.7642479
100000,0.705366
104000,0.71449304
108000,0.68869084
112000,0.71868265
116000,0.69627035
120000,0.7256727
124000,0.731861
128000,0.69482833
132000,0.666384
136000,0.6706164
140000,0.6964524
144000,0.7426164
148000,0.7223597
152000,0.66721946
156000,0.6635645
160000,0.67577046
164000,0.639164
168000,0.68739575
172000,0.65044135
176000,0.60332423
180000,0.6674694
184000,0.67681897
188000,0.6811007
192000,0.67344284
196000,0.719383
200000,0.6611198
204000,0.63853455
208000,0.6055759
212000,0.6601751
216000,0.7367208
220000,0.62643003
224000,0.6094647
228000,0.6224626
232000,0.62845385
236000,0.6356498
240000,0.61413157
244000,0.6000805
248000,0.5887518
252000,0.58667964
256000,0.57940394
260000,0.5427818
264000,0.52603996
268000,0.5429651
272000,0.5548621
276000,0.5904305
280000,0.6151105
284000,0.6233787
288000,0.6155451
292000,0.5535923
296000,0.5674036
300000,0.5867586
304000,0.5675789
308000,0.57006246
312000,0.5670674
316000,0.597222
320000,0.59645873
324000,0.5754963
328000,0.5604261
332000,0.5869707
336000,0.5962087
340000,0.57462955
344000,0.5970607
348000,0.5936763
352000,0.56800777
356000,0.5572913
360000,0.5248325
364000,0.56385744
368000,0.56974804
372000,0.5946021
376000,0.52925634
380000,0.57398915
384000,0.5786395
388000,0.53312415
392000,0.6064438
396000,0.660278
400000,0.63994855
