episode,eta,distill_steps,kl_fit,l1_fit,interference_l1,q_rmse
16,0.5,20,0.0007676228104780118,0.02955444554487864,0.18665424370488456,6.578419021077952
32,0.5,20,0.000349613911423244,0.020656910381819073,0.1238369147906073,6.341929462173198
48,0.5,20,0.0015487358492288377,0.04730035701105671,0.16972172347256181,5.984640693457311
64,0.5,20,0.0008069945796267819,0.028545015388064914,0.159207027962153,6.358853297080713
80,0.5,20,0.0005019889636473222,0.022936896167018196,0.2006120001687143,6.408373280886441
96,0.5,20,0.00048318336261078145,0.021441109478473663,0.13210382686487135,5.902453779525412
112,0.5,20,0.00032670845454655745,0.018239008262753487,0.15609300548802743,6.003174867843912
128,0.5,20,0.0007858688706099721,0.02899017171668155,0.14874266708412995,5.954731537484281
144,0.5,20,0.00040311697870492935,0.019719969183206558,0.09935750163907447,5.797817146291956
160,0.5,20,0.0010326024525316565,0.02959737534235631,0.15517118151944417,5.636719900715509
176,0.5,20,0.0015173876890912652,0.0385626890407554,0.13775048324385206,5.504785849077689
192,0.5,20,0.0004663389538311296,0.019476346878541842,0.06620580488922952,5.526629702563007
208,0.5,20,0.0006073508152945174,0.020158819992233207,0.10262734356596781,5.311592770888835
224,0.5,20,0.0003281122342080132,0.017297212373126637,0.08887946682709053,5.225702631181568
240,0.5,20,0.0007109955328848662,0.02617966287114002,0.12364023762230558,5.269561701540269
256,0.5,20,0.0011820028443692316,0.03064306915320199,0.17804959628184444,5.437950913496479
272,0.5,20,0.0006043896560354538,0.021358791462801122,0.22550158668220244,5.294402952876199
288,0.5,20,0.0005342603781846938,0.02114777722292476,0.09106688163157595,5.273845223778567
304,0.5,20,0.0005593543168148384,0.018723032276074473,0.09057512701993795,5.3255760277560125
320,0.5,20,0.0007121106241053591,0.024144668069978555,0.13177526318612545,5.439132721095838
336,0.5,20,0.0008491997892457632,0.022868545876154975,0.15768854762518103,5.340115408545856
352,0.5,20,0.0011625864925528212,0.02868433399791164,0.1038537114392966,5.404051039633944
368,0.5,20,0.00028689039978556906,0.01576280715660407,0.048253421364209924,5.306371064246897
384,0.5,20,0.000791146845962242,0.025382186350380552,0.09491950000319846,5.265496640547091
400,0.5,20,0.0007386922994295933,0.02328149414721078,0.11314625861033654,5.220072660098365
416,0.5,20,0.0007556837660861978,0.023158231346557537,0.13060735232312262,5.096379236696827
432,0.5,20,0.0008237213393119324,0.02328699335038405,0.11750728827919164,4.994405564740581
448,0.5,20,0.00023824471928593185,0.016609259984559484,0.07714432203857642,4.9593181319105115
