alg,episode,nc_last
base,1,4.763230500288675
base,2000,3.76390378180829
base,4000,3.0192467221167605
base,6000,2.3170578788361254
base,8000,2.5342308984468493
base,10000,1.9550777475697974
base,12000,1.7888100838917274
base,14000,1.5287089416206374
base,16000,1.691483291258511
base,18000,1.4181242752212202
base,20000,1.6470257750639676
base,22000,2.071330171965248
base,24000,1.5971253061069974
base,26000,2.164545135339742
base,28000,1.7484055763367181
base,30000,1.5203622646117525
base,32000,1.4489507145454859
base,34000,1.911150400653594
base,36000,1.5851054082652196
base,38000,1.6112142526075086
base,40000,1.648551943044502
base,42000,1.521555173644391
base,44000,1.7200396088848433
base,46000,1.70547049332637
base,48000,1.877248807499993
base,50000,1.9963757241475872
base,52000,1.7852979859891451
base,54000,1.7446437917241484
base,56000,1.9811970060050434
base,58000,2.2025156155293244
base,60000,2.2263931183140673
base,62000,1.9147951645550665
base,64000,1.8677531817189787
base,66000,2.0031467073630784
base,68000,2.0820245308845227
base,70000,2.095346923833371
base,72000,1.7959541308133145
base,74000,1.9567991634671458
base,76000,2.150525564881848
base,78000,1.8653126094484456
base,80000,1.8442791991532759
base,82000,1.7706195612127138
base,84000,1.5816177781718195
base,86000,1.603584131583081
base,88000,1.942923332439046
base,90000,1.851093304056965
base,92000,1.8785840932483155
base,94000,1.8732309400259817
base,96000,1.6316226935232292
base,98000,1.8343864209942664
base,100000,1.726807825690321
