episode,nc_last
1,4.777759
4000,1.9610536
8000,1.165539
12000,1.2566879
16000,1.2574697
20000,1.6126696
24000,1.78199
28000,1.8507197
32000,1.6421136
36000,1.7242646
40000,1.4464113
44000,1.5355332
48000,1.5034769
52000,1.7471546
56000,1.7439315
60000,1.7340811
64000,1.7645063
68000,1.780908
72000,1.7897288
76000,1.8344862
80000,1.730709
84000,1.8129634
88000,1.8194369
92000,1.8140246
96000,1.7493001
100000,1.7260859
104000,1.6546454
108000,1.5339813
112000,1.4550104
116000,1.4664567
120000,1.4761801
124000,1.4258528
128000,1.422063
132000,1.4246875
136000,1.4272432
140000,1.3861706
144000,1.3867879
148000,1.4156445
152000,1.4159229
156000,1.4928498
160000,1.5591114
164000,1.6118766
168000,1.6373651
172000,1.6881081
176000,1.6678605
180000,1.7310029
184000,1.7952108
188000,1.8790662
192000,1.813581
196000,1.8983536
200000,1.9211512
204000,1.9907247
208000,2.025241
212000,2.0498724
216000,2.1107337
220000,2.082682
224000,2.0386274
228000,2.030942
232000,1.987458
236000,1.9474758
240000,1.9096338
244000,1.9474633
248000,1.8729994
252000,1.8325326
256000,1.7980217
260000,1.771374
264000,1.7894068
268000,1.7917681
272000,1.7266902
276000,1.7305804
280000,1.7197733
284000,1.6822891
288000,1.6692092
292000,1.6676675
296000,1.6800895
300000,1.6819185
304000,1.6789873
308000,1.6564507
312000,1.5914067
316000,1.5730894
320000,1.5645382
324000,1.578718
328000,1.5653261
332000,1.5445234
336000,1.5780449
340000,1.5638837
344000,1.5590448
348000,1.561197
352000,1.5505722
356000,1.561105
360000,1.5645071
364000,1.5419127
368000,1.5664685
372000,1.5867357
376000,1.5914522
380000,1.5995858
384000,1.6040395
388000,1.595377
392000,1.6005623
396000,1.5769506
400000,1.5731637
