tau,eta,K,phases,per_phase_factor,final_nc
0.05,1.0,144,104,1.002868292601946,0.13061795840665671
0.1,0.5,144,104,0.9835158554830927,0.06090559804760269
0.1,1.0,74,202,0.9983180576653579,0.14083630933428734
0.2,0.5,74,202,0.9914094685727631,0.10767637538265402
0.2,1.0,39,384,0.9986553861358801,0.22841802073947948
0.5,0.5,32,468,0.9970249496100672,0.17793005651041188
