distill_steps,kl_early,kl_mid,kl_late,kl_drift,interference_late,q_rmse_late,floor
5,0.0005962628598257733,0.0005244278615860187,0.0007263570647551978,0.00020192920316917907,0.0020478168024500756,0.6865700440058999,0.28654810585202356
20,0.0002526160213889124,0.0007028510140728577,0.0008335098088621305,0.00013065879478927277,0.024125916690847012,0.654238607546057,0.2928933351975705
80,0.00031185822925688147,4.375614979375282e-06,0.0006278009412426484,0.0006234253262632731,0.01139653482366117,0.17262517512402545,0.14965284887873284
320,0.00047258415680538667,8.741497892622565e-07,3.7831025379568525e-07,-4.958395354665713e-07,0.011331467219767608,0.7264870376214305,0.16391653039977444
