episode,eta,kl_fit,interference_l1,q_rmse
64,0.5,0.0006610422056278017,0.08272188087388621,6.078489
128,0.5,0.0004942204724366386,0.0843243497822966,5.2192082
192,0.5,0.0003848161987974239,0.06531045790652783,4.9814687
256,0.5,0.0007082081356202252,0.06126033100816938,4.8232403
320,0.5,0.00021763728000223637,0.05432985865456216,4.708103
384,0.5,0.00019934325082431313,0.08127552851782006,4.7937803
448,0.5,9.473040711327485e-05,0.039352744414999676,4.9121866
512,0.5,0.00012506750952628144,0.04256322299971164,4.5084496
576,0.5,8.714630034930827e-05,0.04624365270137787,4.307681
640,0.5,0.00015105633361075642,0.04734926721589132,4.246563
704,0.5,8.352743523293891e-05,0.04195305669164083,4.0105395
768,0.5,0.0001736292749563673,0.05300000590550435,4.104936
832,0.5,6.07512433192574e-05,0.0334083420803418,4.1820025
896,0.5,6.843729697412544e-05,0.04153387075009411,3.9904766
960,0.5,0.00026394184990777194,0.041220675058224625,4.060993
1024,0.5,7.409209675683793e-05,0.05263888569814818,3.9829426
1088,0.5,0.00011018939377126199,0.04082165646056334,3.9686065
1152,0.5,0.00012821874609953202,0.052381386851956105,4.027732
1216,0.5,0.00011174361456231382,0.025508894585072994,3.9680896
1280,0.5,0.00011381959384753789,0.04231756082120931,3.9359512
1344,0.5,7.308169762605786e-05,0.04116813794654958,3.9503787
1408,0.5,8.390888130331102e-05,0.042448146673648254,3.94896
1472,0.5,9.476616577995191e-05,0.051340822130441666,4.008852
1536,0.5,6.662690160033714e-05,0.040859447453509674,3.962318
1600,0.5,9.027374662064875e-05,0.04584444153376601,4.0308447
1664,0.5,8.343322365868112e-05,0.03437960112378711,4.0314865
1728,0.5,0.00011540669428151367,0.03977821158563218,4.027682
1792,0.5,5.203467348873082e-05,0.01871922292197362,4.036068
1856,0.5,6.405999299134307e-05,0.02659878046769235,4.0610986
1920,0.5,0.0001428662126990706,0.04339477343156057,4.100032
1984,0.5,8.214234549086541e-05,0.030080823775599983,4.093397
2048,0.5,0.00010887436119013554,0.0319786483202787,2.281634
2112,0.5,0.00015657652934001256,0.03768247009857612,2.2288816
2176,0.5,8.516595673803561e-05,0.04078653402393684,2.1612508
2240,0.5,7.300273177356253e-05,0.033114218303272804,2.3539083
2304,0.5,0.00010848029588112909,0.037787042750880635,2.4055579
2368,0.5,0.00010365034654908535,0.03923426368446262,2.177762
2432,0.5,8.620583338759463e-05,0.038031033550699554,2.0982637
2496,0.5,8.73315367871456e-05,0.0343041157660385,2.0838244
2560,0.5,7.875337617476291e-05,0.019555698459347088,2.236044
2624,0.5,6.017877904289917e-05,0.03482494435527108,2.1279361
2688,0.5,9.771375597564556e-05,0.032559504466397424,2.045929
2752,0.5,5.62582882835907e-05,0.03485766425728798,2.047429
2816,0.5,6.845002030456891e-05,0.031208805460482835,2.0706618
2880,0.5,5.418337699765824e-05,0.02615966589043015,2.0038455
2944,0.5,8.05178912952005e-05,0.02812390360567305,2.0165024
3008,0.5,6.124847486110715e-05,0.030031917397590244,1.9889973
3072,0.5,8.402954500363119e-05,0.023796333767035428,1.9932243
3136,0.5,4.7210965324969344e-05,0.020535770091502106,2.0250807
3200,0.5,6.612724639841767e-05,0.024124727468006313,2.0162323
3264,0.5,5.330357189582107e-05,0.021977774798870087,1.9695026
3328,0.5,4.892202580354216e-05,0.017298025311902165,1.944016
3392,0.5,6.641451856172781e-05,0.05054027233272791,2.0032556
3456,0.5,7.018539810709679e-05,0.020179040330861295,1.9699644
3520,0.5,4.883673166962884e-05,0.02516104818250124,1.898205
3584,0.5,5.2717784199839895e-05,0.023237687225143116,1.975727
3648,0.5,8.39416977252998e-05,0.025793421703080337,2.0256302
3712,0.5,7.943623341969971e-05,0.014419880610975351,2.275929
3776,0.5,0.00013497999439288167,0.016867185350168835,2.2175398
3840,0.5,8.706700884011717e-05,0.03485762243243781,2.1707964
3904,0.5,7.034170764979665e-05,0.03978485851125284,2.0401485
3968,0.5,5.3283760902144696e-05,0.028618706597222224,2.0080433
4032,0.5,7.828070786337393e-05,0.024470523827605777,1.579057
4096,0.5,5.771664001332357e-05,0.01632643139196767,1.3142223
4160,0.5,4.631153808701644e-05,0.01974431425333023,1.3186239
4224,0.5,9.822567562878248e-05,0.023441964553462133,1.2919885
4288,0.5,6.199997494137553e-05,0.020785992166825702,1.2234448
4352,0.5,3.968587691360881e-05,0.009773855762822288,1.1558264
4416,0.5,0.000127014236911065,0.021792751337800707,1.2195901
4480,0.5,0.00010141251345565149,0.010066566988825798,1.1700436
4544,0.5,5.1717178458077376e-05,0.03391164727509022,1.2276541
4608,0.5,4.2199674151479893e-05,0.005866599269211292,1.1784693
4672,0.5,4.2763709997315244e-05,0.020487815141677856,1.1411649
4736,0.5,3.904434825145331e-05,0.014245899394154549,1.0158046
4800,0.5,7.129815605821932e-05,0.00766508374363184,1.0189047
4864,0.5,5.387243242782255e-05,0.013299372978508472,1.0075258
4928,0.5,3.4166727042853985e-05,0.015868515707552433,1.1500529
4992,0.5,5.265739735997548e-05,0.013080495099226633,1.0503929
5056,0.5,4.2342884002469616e-05,0.016117480893929798,1.0906857
5120,0.5,0.00010663590342808288,0.008574520548184713,1.0615865
5184,0.5,4.6054504587623844e-05,0.018828841547171276,1.0400519
5248,0.5,4.213088991614436e-05,0.020434389511744182,1.0433505
5312,0.5,5.8822282689537754e-05,0.0250936100880305,0.99743193
5376,0.5,5.2799358400079655e-05,0.012084044516086578,1.0574244
5440,0.5,2.8633755873135454e-05,0.01875716696182887,1.0347834
5504,0.5,3.710405497778473e-05,0.015200649698575338,1.1179669
5568,0.5,4.251966157021848e-05,0.11784772202372551,0.9909512
5632,0.5,0.0001339747906132362,0.027099767078955967,1.085846
5696,0.5,0.00010678613804770976,0.00750027596950531,1.057606
5760,0.5,4.393148568245427e-05,0.06761560589075089,0.98586035
5824,0.5,3.8868964733601864e-05,0.019052920242150623,0.99597585
5888,0.5,3.7591428575551085e-05,0.01748674859603246,1.0513268
5952,0.5,5.2181532763029284e-05,0.008859286705652872,1.0453923
6016,0.5,6.112975858042668e-05,0.01941864937543869,1.0138465
6080,0.5,5.0095402498713653e-05,0.029616522292296093,0.9454165
6144,0.5,2.772646903802307e-05,0.008444910248120626,0.85877323
6208,0.5,7.45129688068013e-05,0.01788519819577535,0.9077673
6272,0.5,6.274997776124699e-05,0.01255004107952118,0.7884334
6336,0.5,4.9193755506036856e-05,0.014238464335600534,0.910524
6400,0.5,3.554609621703644e-05,0.038529212276140846,0.74080753
6464,0.5,5.7132738912117366e-05,0.0036339921255906424,0.7831258
6528,0.5,4.943487392911511e-05,0.03264681125680605,0.7358134
6592,0.5,2.6970836559205336e-05,0.009393415103356043,0.6987588
6656,0.5,3.78737051153533e-05,0.023024818549553554,0.71844697
6720,0.5,4.314779377609463e-05,0.005717553198337555,0.75028193
6784,0.5,2.9315187971819384e-05,0.017568383365869522,0.71821463
6848,0.5,4.450300086598592e-05,0.013557389378547668,0.71985584
6912,0.5,4.0518424088297636e-05,0.008560553193092346,0.71908116
6976,0.5,3.480191727738622e-05,0.003050691137711207,0.71040314
7040,0.5,8.543456728408014e-05,0.020072133590777714,0.69754964
7104,0.5,3.072082545802018e-05,0.011172351737817129,0.6380243
7168,0.5,3.9522183325626996e-05,0.018249218662579853,0.7310459
7232,0.5,3.403195424311889e-05,0.009720870604117712,0.61184424
7296,0.5,3.1777863569004694e-05,0.0059687985728184385,0.6593538
7360,0.5,0.0001819694183203475,0.010813652537763119,0.60988903
7424,0.5,3.3047226632391704e-05,0.024729641154408455,0.61152095
7488,0.5,9.609937081292559e-05,0.013285430148243904,0.6223984
7552,0.5,2.8550415824541303e-05,0.003642795607447624,0.6463855
7616,0.5,3.0270083531742246e-05,0.0015956442803144455,0.676807
7680,0.5,2.923977328120256e-05,0.003940615803003311,0.6700729
7744,0.5,6.0677626274460075e-05,0.005294697359204292,0.6737803
7808,0.5,3.836566138013597e-05,0.008894218131899834,0.6202933
7872,0.5,4.387243715037974e-05,0.006308646872639656,0.60205
7936,0.5,2.2859922473195127e-05,0.010431550443172455,0.6345687
8000,0.5,2.688210941950288e-05,0.009671993553638458,0.68220705
8064,0.25,9.631347101492146e-06,0.0024329889565706253,0.7381692
8128,0.25,1.0093368411747049e-05,0.004090039059519768,0.71193635
8192,0.25,7.637416825190257e-06,0.001571187749505043,0.82842284
8256,0.25,1.209620539973056e-05,0.0012610778212547302,0.5947278
8320,0.25,6.72255495489466e-06,0.0007560774683952332,0.696557
8384,0.25,1.6333986831591904e-05,0.002128198742866516,0.6973266
8448,0.25,2.120385145720623e-05,0.0067151933908462524,0.61983013
8512,0.25,1.46152329762117e-05,0.004176609218120575,0.5961421
8576,0.25,8.406608512616557e-06,0.0018889717757701874,0.5640492
8640,0.25,5.529935400161289e-06,0.0027533546090126038,0.5815191
8704,0.25,7.591295817140538e-06,0.002269510179758072,0.55459845
8768,0.25,8.234722354389969e-06,0.005344558507204056,0.5420997
8832,0.25,7.699607299525257e-06,0.006635162979364395,0.6046669
8896,0.25,6.882587201419353e-06,0.0005078800022602081,0.59291184
8960,0.25,7.907639942648832e-06,0.000410277396440506,0.55915046
9024,0.25,6.593424654626566e-06,0.00015036016702651978,0.5984126
9088,0.25,7.128631784221621e-06,0.0002461336553096771,0.5734794
9152,0.25,7.102626561212018e-06,0.0033205971121788025,0.5921095
9216,0.25,1.126056502230667e-05,0.0007584951817989349,0.59791535
9280,0.25,2.7181573379018367e-05,0.002343021333217621,0.5581388
9344,0.25,9.297900594771947e-06,0.0006708241999149323,0.81982607
9408,0.25,8.84681522878767e-06,0.0017502270638942719,0.6475347
9472,0.25,9.147085550279479e-06,0.0002949759364128113,0.53130263
9536,0.25,1.0066110734606197e-05,0.008201932534575462,0.57203966
9600,0.25,1.0254276388090446e-05,0.0011693984270095825,0.56104094
9664,0.25,6.572699024035053e-06,0.0,0.5581007
9728,0.25,9.884179165611487e-06,0.0,0.6049108
9792,0.25,6.645970437391593e-06,0.0,0.5053165
9856,0.25,1.511012233608668e-05,0.0,0.5390144
9920,0.25,5.564624447042805e-06,0.0,0.5178074
9984,0.25,1.7084684731731318e-05,0.0,0.5712995
10048,0.25,7.628475229309445e-06,0.0,0.7809656
10112,0.25,1.9779105368367733e-05,0.0,1.4386907
10176,0.25,1.0493101528810359e-05,0.0,0.95741725
10240,0.25,6.135389088950223e-06,0.0,0.8496746
10304,0.25,1.8960191416302525e-05,0.0,0.8606733
10368,0.25,2.9249876836464257e-06,0.0,0.85633355
10432,0.25,7.532601816961915e-06,0.0,0.8759309
10496,0.25,1.0441585943356456e-05,0.0,0.86269623
10560,0.25,7.539179403781212e-06,0.0,0.6707963
10624,0.25,6.146017017272243e-06,0.0,0.6794877
10688,0.25,5.772500380640006e-06,0.0,0.6799367
10752,0.25,5.297482941666833e-06,0.0,0.7071145
10816,0.25,3.237558325590875e-06,0.0,0.6817246
