alg,episode,nc_last
adaptive,1,4.763230500288675
adaptive,2000,3.3400779348246603
adaptive,4000,1.878755098889712
adaptive,6000,2.1626890175881353
adaptive,8000,2.285411548881716
adaptive,10000,2.0983914619364366
adaptive,12000,1.7735146451406198
adaptive,14000,1.6149476843887929
adaptive,16000,1.6407008042970848
adaptive,18000,1.8445206991613015
adaptive,20000,1.7490825080821548
adaptive,22000,2.1594792763770907
adaptive,24000,1.928632191683019
adaptive,26000,2.100958467670015
adaptive,28000,2.150784675400683
adaptive,30000,2.340513743190697
adaptive,32000,2.3387018111019326
adaptive,34000,2.971398856817835
adaptive,36000,2.5315571094592206
adaptive,38000,2.7319226197599678
adaptive,40000,2.3764934158295787
adaptive,42000,2.640483873855663
adaptive,44000,2.385973290315124
adaptive,46000,2.4014852522407217
adaptive,48000,2.5619693818875637
adaptive,50000,2.3732114931652997
adaptive,52000,2.5414440268319574
adaptive,54000,2.470399611001235
adaptive,56000,2.1869839363506434
adaptive,58000,2.1261489967999188
adaptive,60000,2.094997157510677
adaptive,62000,2.0598515191001177
adaptive,64000,1.9662780222930052
adaptive,66000,1.9498765119627985
adaptive,68000,1.9723741044617742
adaptive,70000,1.9725309453223492
adaptive,72000,1.9960403228545474
adaptive,74000,1.9852878315436127
adaptive,76000,1.982870831186199
adaptive,78000,1.7832851381748993
adaptive,80000,1.8491018586830696
adaptive,82000,1.7402507807548209
adaptive,84000,1.739953092763949
adaptive,86000,1.8395554374734706
adaptive,88000,1.5987511309543034
adaptive,90000,1.5340625961676808
adaptive,92000,1.5142460351798532
adaptive,94000,1.380263388331267
adaptive,96000,1.2729028189052682
adaptive,98000,1.53041253568577
adaptive,100000,1.3774339869659338
