episode,nc_last
1,0.91025424
2000,0.20428129
4000,0.1506384
6000,0.13320082
8000,0.14439969
10000,0.11399169
12000,0.05152592
14000,0.040318996
16000,0.13816594
18000,0.098560825
20000,0.09374495
22000,0.13219298
24000,0.09512292
26000,0.07333
28000,0.07434517
30000,0.074862465
32000,0.05836779
34000,0.058518484
36000,0.060655072
38000,0.01578258
40000,0.023408249
42000,0.022353128
44000,0.050564185
46000,0.08312552
48000,0.12964477
50000,0.15619382
52000,0.06254049
54000,0.11336276
56000,0.056633145
58000,0.07034306
60000,0.040216386
62000,0.049678817
64000,0.039773837
66000,0.048060983
68000,0.037002996
70000,0.03229317
72000,0.0208686
74000,0.011967897
76000,0.025446057
78000,0.045355514
80000,0.013742641
82000,0.032445177
84000,0.049698174
86000,0.057540655
88000,0.03950481
90000,0.035156682
92000,0.02014476
94000,0.030866116
96000,0.025946394
98000,0.013496831
100000,0.014208451
102000,0.030791119
104000,0.027077526
106000,0.0431235
108000,0.035823867
110000,0.033582643
112000,0.016887084
114000,0.041007638
116000,0.032237694
118000,0.038462684
120000,0.016697079
122000,0.020179808
124000,0.01774399
126000,0.022590369
128000,0.010988355
130000,0.015150115
132000,0.025928497
134000,0.03219129
136000,0.04027337
138000,0.0604337
140000,0.084693596
142000,0.091904804
144000,0.08216594
146000,0.07739751
148000,0.068522796
150000,0.06445061
152000,0.050785705
154000,0.041339666
156000,0.032432243
158000,0.042202204
160000,0.054379404
162000,0.05593553
164000,0.04576482
166000,0.04111299
168000,0.048096195
170000,0.041880995
172000,0.044807494
174000,0.044740528
176000,0.043073803
178000,0.034198508
180000,0.031365827
182000,0.03336677
184000,0.052752033
186000,0.053250358
188000,0.05825056
190000,0.04536064
192000,0.034510955
194000,0.026688263
196000,0.037467837
198000,0.03449498
200000,0.035119936
202000,0.027682275
204000,0.04173304
206000,0.041894063
208000,0.05181931
210000,0.028991535
212000,0.017459244
214000,0.02546814
216000,0.02898629
218000,0.044070944
220000,0.028709173
222000,0.036893085
224000,0.029940873
226000,0.026472047
228000,0.025957957
230000,0.015145168
232000,0.018307447
234000,0.020724416
236000,0.024358585
238000,0.01868777
240000,0.021400034
242000,0.02045849
244000,0.010117978
246000,0.008215189
248000,0.02775614
250000,0.01963164
252000,0.016943887
254000,0.02368474
256000,0.03158647
258000,0.025377184
260000,0.028563231
262000,0.033235446
264000,0.032251373
266000,0.028520912
268000,0.02974303
270000,0.024220929
272000,0.014729574
274000,0.011658594
276000,0.016760528
278000,0.011484519
280000,0.026851475
282000,0.021845981
284000,0.02415368
286000,0.023118868
288000,0.038475677
290000,0.05267261
292000,0.046321675
294000,0.05175796
296000,0.056244776
298000,0.06280063
300000,0.054185227
302000,0.04471603
304000,0.046437696
306000,0.0374562
308000,0.043258637
310000,0.03543392
312000,0.040429413
314000,0.0400078
316000,0.035499454
318000,0.03771904
320000,0.036705047
322000,0.032670557
324000,0.036117256
326000,0.038382918
328000,0.035774767
330000,0.037181795
332000,0.037555814
334000,0.034403265
336000,0.033850998
338000,0.03686002
340000,0.031495273
342000,0.0294317
344000,0.027378082
346000,0.030278206
348000,0.025545299
350000,0.024380445
352000,0.015926957
354000,0.014811575
356000,0.012967169
358000,0.011382073
360000,0.0101851225
362000,0.016147107
364000,0.01390177
366000,0.017407343
368000,0.0221757
370000,0.023323178
372000,0.017406076
374000,0.01320985
376000,0.0127070695
378000,0.010762379
380000,0.010823458
382000,0.010918409
384000,0.010708481
386000,0.0078100413
388000,0.008719921
390000,0.005900085
392000,0.004291415
394000,0.0079135895
396000,0.008152559
398000,0.00730139
400000,0.007892922
