episode,eta,distill_steps,kl_fit,l1_fit,interference_l1,q_rmse
16,0.5,20,0.0007676228104780118,0.02955444554487864,0.18665424370488456,6.604758368438737
32,0.5,20,0.00032480491178208277,0.019317158742954855,0.12388695881712393,6.308777509763252
48,0.5,20,0.0020650823961102195,0.05005541395756506,0.18501415993684925,6.268616310450209
64,0.5,20,0.0008790033636614681,0.033248627185821535,0.12601942262908286,5.93016030846359
80,0.5,20,0.00039029308876100305,0.021572659413019817,0.11634663379553592,5.91230305076093
96,0.5,20,0.000349795116800005,0.018007270991802216,0.20582690022464067,5.422908865730165
112,0.5,20,0.0004178591900401645,0.02066357406201186,0.16964833963648113,5.004579851087545
128,0.5,20,0.000197985869817785,0.013576926663517952,0.1704411113239599,5.14179563972906
144,0.5,20,0.0004102964394405717,0.019511778218050797,0.11226790598734762,5.122853022663493
160,0.5,20,0.00032983420309252466,0.01701418425028141,0.13343350637618823,5.340325363396366
176,0.5,20,0.0004750141339503567,0.02189492637460882,0.11913066091282028,5.1608133749496865
192,0.5,20,0.0002598343902112295,0.014714667130084265,0.08184147418270843,5.2438698402000075
208,0.5,20,0.00018584594072308392,0.014793390408158302,0.1247705344055126,5.351065321900228
224,0.5,20,0.0003149898281359735,0.018011780662669077,0.11250862200883613,5.482904375422434
240,0.5,20,0.001154243642910539,0.03459384820113579,0.17925041128006397,5.177519757239892
256,0.5,20,0.0004180156344470258,0.018297009480496246,0.18499417701792537,5.39695351536382
272,0.5,20,0.0009440476881406669,0.027949158501412188,0.13860289795467487,5.290510384822896
288,0.5,20,0.0005310406101801034,0.02179799299864542,0.1337776446805688,5.307240905366411
304,0.5,20,0.0004650645463823758,0.02016654501444307,0.10681882198597933,5.464771656298896
320,0.5,20,0.0024885624952730723,0.04500985422055237,0.12795905086386483,5.54062439618378
336,0.5,20,0.0005622043950447383,0.02411306912724215,0.1389159569090218,5.3983667711017755
352,0.5,20,0.0012079535310587028,0.03352483407114491,0.1399658267094078,5.316721843730958
368,0.5,20,0.0005236264206124124,0.0232750805163825,0.14706977494096676,5.278474627514117
384,0.5,20,0.0005915225512580947,0.019655566569417714,0.13610169739469655,5.148111626576965
400,0.5,20,0.00015593905583955348,0.012216075472533703,0.09150553148809976,5.060356574215173
416,0.5,20,0.000717664479136305,0.023081191612974457,0.12977881742079023,5.08332572633927
432,0.5,20,0.0011784141236906482,0.03111971328811099,0.12454814496044436,5.088971611069911
448,0.5,20,0.0005758177388391535,0.02370202587917447,0.11375589508679695,5.177455189265252
464,0.5,20,0.0004428699054794076,0.02139031299157068,0.07656857807358558,5.250358625414767
480,0.5,20,0.0009291760784604035,0.027406337153580453,0.13075301804761777,5.173008840073741
496,0.5,20,0.0005622038578232085,0.020954637430674796,0.10740992327829679,5.1451258047488615
512,0.5,20,0.0006140617676259529,0.020313832078940205,0.10341962650128375,5.140531112592722
528,0.5,20,0.0013744402014457717,0.031373390406049015,0.10363466597176121,5.064245362486495
544,0.5,20,0.0010945259328481965,0.03182229516899277,0.09418745087724877,5.004547891373012
560,0.5,20,0.0008935253253394666,0.025428033538516432,0.1329425128273673,5.112480642900532
576,0.5,20,0.0010397668475679194,0.023502376646949694,0.09406038681020737,5.009373736789744
592,0.5,20,0.00011733094288501889,0.010694815125316382,0.06567402466599058,4.961365910510215
608,0.5,20,0.0003293297113850713,0.01735520299524069,0.06256355899212371,4.9516813660652685
624,0.5,20,0.0004279121505013401,0.019353366623233472,0.08859166894348723,4.888012484640037
640,0.5,20,0.0018927881663495843,0.04230171933092854,0.13427999782863098,4.952165049524254
656,0.5,20,0.0010120330183641412,0.032423320620392375,0.14987735128165036,5.0314044164908305
672,0.5,20,0.0007689487753884384,0.026474066555103357,0.12153809251731043,4.9524434551487815
688,0.5,20,0.00042481823654200596,0.01997315586105777,0.06443989571939952,4.986508556133496
704,0.5,20,0.00034367743608998825,0.01540303963917756,0.08361722244530956,4.947387157194287
720,0.5,20,0.0015484525485792095,0.03167495550587773,0.15735984606944003,5.029902335445828
736,0.5,20,0.001099306842122503,0.029165412325205073,0.11719632025681422,4.8650842938773735
752,0.5,20,0.0003609806371969171,0.016354962843858328,0.08715864880992519,4.938133051888915
768,0.5,20,0.0005122544901931416,0.021816647895004437,0.11835240249583533,4.7580645311617875
784,0.5,20,0.0010457679454702884,0.030726486630737782,0.1486846822706649,4.620275009408347
800,0.5,20,0.0014550752379000186,0.03075031578540802,0.10064489049164174,4.659747411418484
816,0.5,20,0.0010900715880842622,0.023452600014620816,0.08244380099486746,4.720245420452791
832,0.5,20,0.0004918370475272902,0.01832432721064172,0.0815827601284657,4.710044724234183
848,0.5,20,0.0014475168541788922,0.03345873399770686,0.11393942391732707,4.647087862158702
864,0.5,20,0.0003289451818160999,0.013264096485307584,0.10073588442995803,4.831147646957491
880,0.5,20,0.004016027786957028,0.052722849059276856,0.08191924939067138,4.779810694498176
896,0.5,20,0.0022014863966938313,0.04263758056158959,0.1613517892315013,4.836296775387107
912,0.5,20,0.0038861134477580586,0.05383361844966809,0.11248696953209053,4.91452681132539
928,0.5,20,0.0022251022078476294,0.04293410245467116,0.0702257420786503,4.887594195941915
944,0.5,20,0.0008653055255391254,0.026848006316206673,0.076403246177588,4.931061289502088
960,0.5,20,0.0016968076664488762,0.02797989673912525,0.09446548416718359,4.9093515531840115
976,0.5,20,0.0011047797845094465,0.0326581361470744,0.07288770238567428,4.920944071681332
992,0.5,20,0.004099470674991608,0.0449646482989192,0.08552267276611136,4.990344024693611
1008,0.5,20,0.0046532154679411065,0.04938348857385497,0.09266419338555246,5.031357707871543
1024,0.5,20,0.001908440388268156,0.03940951704068787,0.09646534975107166,5.056309840861852
1040,0.5,20,0.003664634986780584,0.053253319188952444,0.07178277142350387,4.964123706303676
1056,0.5,20,0.0018051036022370681,0.035464327316731215,0.09106739775696288,5.062555269010123
1072,0.5,20,0.0011144049266087158,0.027016872562290656,0.10107852396998233,5.138521105879617
1088,0.5,20,0.003198200201511319,0.04619104575751157,0.18235150146123713,5.039310909043162
1104,0.5,20,0.00422039792407304,0.026509038470685482,0.10626265844073458,5.001964306285202
1120,0.5,20,0.0011532747851950782,0.03188973401806184,0.1501191078216802,4.991978427581664
1136,0.5,20,0.003023511584615335,0.031244813386971753,0.09820118641736827,4.956501886862409
1152,0.5,20,0.0007438009516268569,0.020720841149644304,0.09732744582074103,4.920095315912861
1168,0.5,20,0.0025787129724288687,0.03564884272568366,0.08371723784792867,4.906714993278737
1184,0.5,20,0.0003843384590160487,0.017107535121512824,0.06872311962654268,4.930328618733802
1200,0.5,20,0.0017015584070529592,0.035895564446323795,0.09129256841018588,4.950619448604206
1216,0.5,20,0.0005577435028953914,0.020421113542397507,0.0854511900615762,4.938759993097378
1232,0.5,20,0.0011753618552271898,0.026916548423469067,0.10513547961663296,5.158299557213119
1248,0.5,20,0.000478835660032928,0.017164545263060264,0.059898243467698155,5.16542520995655
1264,0.5,20,0.0009098612795545098,0.023590624146163464,0.07360751310935562,5.237572285106715
1280,0.5,20,0.0014726776502999093,0.027816388430758652,0.10943733911739487,5.266510706691185
1296,0.5,20,0.0034316883191220565,0.03635669039148423,0.14702562480681716,5.171105480240192
1312,0.5,20,0.00044001456890014354,0.01608213758224557,0.08443606999634992,5.149026587313931
1328,0.5,20,0.0009634754410944879,0.026109365206211807,0.0631381676599776,5.132993173348326
1344,0.5,20,0.0016869023844088998,0.03126346967333267,0.12216776282636853,5.034863073535805
1360,0.5,20,0.001284853735518071,0.021658143058659568,0.08241630484635855,4.930706824726187
1376,0.5,20,0.0011470682639628648,0.030274145305156708,0.09881390762973945,4.801393877382237
1392,0.5,20,0.000994797887869936,0.02295078884708346,0.09111998819162181,4.85924041900994
1408,0.5,20,0.0022823733317916496,0.032840613168306075,0.07236005220773722,4.841427636642872
1424,0.5,20,0.0035248677269555627,0.043978840857744214,0.11988843104159354,4.902642324043078
1440,0.5,20,0.0007921031779994297,0.02950085642869058,0.12043630437714592,4.865094872666897
1456,0.5,20,0.0010682845613337122,0.022483576163649557,0.0722619982333606,4.864286444537934
1472,0.5,20,0.0010215113084996118,0.025379115343093873,0.14243467291708473,4.623072126399656
1488,0.5,20,0.000821751780070675,0.023091560152048867,0.06791274906286024,4.5846483142993115
1504,0.5,20,0.0012165308313948724,0.02715021507659306,0.15216813808938517,4.5033780127145775
1520,0.5,20,0.0019555479325830557,0.04073959402740002,0.08516691036699955,4.570012395150452
1536,0.5,20,0.0007799321979594727,0.022482410306110978,0.07393829610790739,4.6754542873107265
1552,0.5,20,0.0008142311190668908,0.025658976252156275,0.10612434874377052,4.6955138371216565
1568,0.5,20,0.0017969216236711613,0.03955003416298756,0.09205109236063436,4.640411193245451
1584,0.5,20,0.00026574992476856676,0.013093866587785835,0.07303112093654647,4.608463428407325
1600,0.5,20,0.00033821818499785405,0.016736155618791996,0.10457144560026585,4.552954804999845
1616,0.5,20,0.0018856981742746111,0.0349537789482962,0.07438702678440937,4.500887960731035
1632,0.5,20,0.00044698804794322876,0.02029150289793809,0.06967079014716189,4.682808495180148
1648,0.5,20,0.0013379582770816658,0.03389534378505271,0.09881653377065822,4.619854276468684
1664,0.5,20,0.0010798348924324203,0.028568011995118398,0.048813665620289486,4.557879436416566
1680,0.5,20,0.00111638689312436,0.03151116439181825,0.09164360962843277,4.607862283947755
1696,0.5,20,0.002067580730432556,0.03699680222641854,0.11549834059795525,4.561466701838905
1712,0.5,20,0.0016391022385236014,0.03756646660191042,0.16404192462399372,4.34533869470068
1728,0.5,20,0.0017872309981612489,0.03306833406289419,0.10111887449448025,4.4235690242540535
1744,0.5,20,0.0011072355241944583,0.031182370220239345,0.10756128005157331,4.430242393468726
1760,0.5,20,0.0023066502046556426,0.04571958248002025,0.08910116117948823,4.450730575354771
1776,0.5,20,0.0008054966165218502,0.023427465214179113,0.11117632752942021,4.337007446028888
1792,0.5,20,0.0019447993211172245,0.03910793874550749,0.18233820839992,4.61996257412851
1808,0.5,20,0.00042552927576859173,0.019930971087887883,0.06574381340672544,4.702250243768864
1824,0.5,20,0.007853721759082484,0.06920876566852842,0.1089158172687838,4.6339706578404485
1840,0.5,20,0.004685097734181909,0.05616270186146721,0.08582177363769006,4.565208808757661
1856,0.5,20,0.007892308281734586,0.07217441327869892,0.1560281954923496,4.499897613690277
1872,0.5,20,0.0022601025630137883,0.039658133656932756,0.08983305375845321,4.5529826094173895
1888,0.5,20,0.0033112868295575026,0.04016738660478344,0.11245548903543474,4.564620782172978
1904,0.5,20,0.003279897686577617,0.04580599793161337,0.1297097810284583,4.375835710532329
