alg,episode,nc_last
tabular,1,4.747222222222224
tabular,8000,2.0460727519276314
tabular,16000,1.9933790757557308
tabular,24000,2.0753699604842195
tabular,32000,1.7616486009687677
tabular,40000,1.6660543618984422
tabular,48000,1.706734381384158
tabular,56000,1.7741208734649958
tabular,64000,1.848985719650971
tabular,72000,1.734728651441342
tabular,80000,1.6043406772210604
tabular,88000,1.6047497606852725
tabular,96000,1.5169781534573565
tabular,104000,1.9050592315791772
tabular,112000,1.8153014713792128
tabular,120000,1.7182749828853567
tabular,128000,1.6557750524650698
tabular,136000,1.7403957054019705
tabular,144000,1.675334886403132
tabular,152000,1.6576581768050884
tabular,160000,1.5913331102945416
tabular,168000,1.7125502710232594
tabular,176000,1.7261645419764449
tabular,184000,1.7749948763514647
tabular,192000,1.8152840136599482
tabular,200000,1.8350509535031894
tabular,208000,1.828709260661327
tabular,216000,1.8194524334296829
tabular,224000,1.8693494488210967
tabular,232000,1.869912709963734
tabular,240000,1.7949500291371212
tabular,248000,1.6293112819484539
tabular,256000,1.6678424269837477
tabular,264000,1.6386706901706192
tabular,272000,1.5893194428810444
tabular,280000,1.4681851163366162
tabular,288000,1.5047055859745615
tabular,296000,1.405440284364527
tabular,304000,1.346965479419012
tabular,312000,1.3550428131209382
tabular,320000,1.372029844225834
tabular,328000,1.3785772201868882
tabular,336000,1.3822014559241116
tabular,344000,1.423118710501785
tabular,352000,1.4325801468791999
tabular,360000,1.4025070541883773
tabular,368000,1.4271039146926408
tabular,376000,1.3733074098865177
tabular,384000,1.3619140132528313
tabular,392000,1.3699941889339584
tabular,400000,1.3937902808019957
