episode,nc_last
1,4.777759
4000,2.6699572
8000,1.6600518
12000,1.2250338
16000,1.0971453
20000,0.9232489
24000,0.8427769
28000,0.8229353
32000,0.78495044
36000,0.7473595
40000,0.78297055
44000,1.0030339
48000,1.1555172
52000,1.4062414
56000,1.4353216
60000,1.5339658
64000,1.565417
68000,1.5953326
72000,1.5919569
76000,1.6176285
80000,1.6375964
84000,1.6683817
88000,1.6292822
92000,1.6305101
96000,1.6040027
100000,1.5749011
104000,1.5469084
108000,1.4810436
112000,1.4995664
116000,1.4869719
120000,1.4342508
124000,1.4281943
128000,1.4269505
132000,1.4342859
136000,1.4438375
140000,1.429296
144000,1.4331803
148000,1.4450669
152000,1.4423149
156000,1.4707729
160000,1.4946017
164000,1.4907777
168000,1.4899204
172000,1.5049896
176000,1.504566
180000,1.5027045
184000,1.5040126
188000,1.5225174
192000,1.5485549
196000,1.5874708
200000,1.5950484
204000,1.6068658
208000,1.6021011
212000,1.5928705
216000,1.5912548
220000,1.6325297
224000,1.6432316
228000,1.6447691
232000,1.6596566
236000,1.6692832
240000,1.6695561
244000,1.6901469
248000,1.689688
252000,1.6937742
256000,1.6946189
260000,1.6960917
264000,1.6991311
268000,1.7037814
272000,1.7160574
276000,1.7104875
280000,1.7199652
284000,1.725707
288000,1.7253797
292000,1.7221484
296000,1.7290273
300000,1.7315633
304000,1.7299124
308000,1.7259002
312000,1.7213595
316000,1.7219377
320000,1.7249651
324000,1.7242656
328000,1.7288983
332000,1.7425
336000,1.7468224
340000,1.7494812
344000,1.745623
348000,1.7347775
352000,1.7374701
356000,1.7370257
360000,1.7274489
364000,1.7265882
368000,1.7353647
372000,1.7212129
376000,1.7084646
380000,1.7082119
384000,1.6976871
388000,1.6958259
392000,1.7014167
396000,1.7138999
400000,1.7254903
