eta,tau,measured_slope,theory_bound,ratio
0.5,1.0,-0.39826787228355126,-0.4054651081081644,0.982249432366217
0.2,0.5,-0.09052269398281194,-0.09531017980432493,0.9497694177962747
0.1,0.2,-0.019337936223800905,-0.01980262729617973,0.976533867681867
0.5,0.5,-0.2158068199989729,-0.22314355131420976,0.9671210246855577
