variant,floor_mean,floor_std,drift_mean,q_rmse_early,q_rmse_late
base,0.26899525358830306,0.08289223625260221,0.10064837033345649,0.13014162665009507,0.6274867903476976
q_anchor,0.3891915262233332,0.043460966967815325,0.19858024415124412,0.17640193755232647,0.328464339751355
q_replay,0.32710278445191804,0.2232512440029706,0.11036885055759947,0.013989587823839812,0.12174406629265494
q_both,0.16868268683659995,0.03185184109471952,-0.11144207347245455,0.10070459622326745,0.16020347360762474
lam05,0.3092245803430773,0.13546874131936595,0.15064940688135361,0.10656905446561715,1.254725517527841
