alg,episode,nc_last
lam075,1,4.763230500288675
lam075,2000,2.898516374041411
lam075,4000,2.0697685357904962
lam075,6000,1.5151846531636948
lam075,8000,1.329108302442682
lam075,10000,1.2655999573270544
lam075,12000,1.1827299390875954
lam075,14000,1.6653499075503997
lam075,16000,1.2056277627310585
lam075,18000,1.3541071983796984
lam075,20000,1.521971448316868
lam075,22000,1.7086533728252762
lam075,24000,1.4412011055141245
lam075,26000,1.3532836192353264
lam075,28000,1.4005793271581655
lam075,30000,1.4294643351676068
lam075,32000,1.4046808093563317
lam075,34000,1.355790427867551
lam075,36000,1.2615667910965072
lam075,38000,1.3045280314004235
lam075,40000,1.330904238088555
lam075,42000,1.2928962933486123
lam075,44000,1.2983884751541297
lam075,46000,1.3246467702286409
lam075,48000,1.260970879257061
lam075,50000,1.2804996937502064
lam075,52000,1.3579759226693162
lam075,54000,1.2867042149595078
lam075,56000,1.2843474811445357
lam075,58000,1.2872774686376278
lam075,60000,1.2644109155342216
lam075,62000,1.2725934641259005
lam075,64000,1.2813120587903652
lam075,66000,1.260629970379111
lam075,68000,1.2374487638724265
lam075,70000,1.2269176227444594
lam075,72000,1.27167250764953
lam075,74000,1.3231331479278607
lam075,76000,1.387820579384496
lam075,78000,1.3795085779517713
lam075,80000,1.4375416797341738
lam075,82000,1.4677477045468892
lam075,84000,1.4478876715767415
lam075,86000,1.4154314172782887
lam075,88000,1.4858211343122845
lam075,90000,1.5904559142185648
lam075,92000,1.580093802896834
lam075,94000,1.6536713622154293
lam075,96000,1.72153469525957
lam075,98000,1.6399717216533714
lam075,100000,1.6384247164717651
