episode,exp
1,0.4475919245935696
20000,0.04257069186323931
40000,0.024214581725331003
60000,0.02665854012784194
80000,0.030648824104025196
100000,0.02698552291078915
120000,0.019139530831202095
140000,0.02151639964717733
160000,0.01925027531795928
180000,0.02437186861284041
200000,0.01920689853905133
220000,0.03011668662757791
240000,0.02168228885699472
260000,0.039393648803922515
280000,0.03140230715844697
300000,0.011137728417544207
320000,0.009968900009167614
340000,0.010074202881930117
360000,0.011393682271789218
380000,0.003533431192507458
400000,0.00803080564445724
420000,0.014572367803339342
440000,0.0020356451530059716
460000,0.002071995965519574
480000,0.006792380201860071
500000,0.0043416218539448215
520000,0.0038173380434771143
540000,0.008033107009510376
560000,0.004850479833927945
580000,0.005171986420826724
600000,0.004593251314216618
620000,0.006579006679771876
640000,0.010866707828651373
660000,0.012941271509312402
680000,0.0075559358263238285
700000,0.004511899736917624
720000,0.003918175886277658
740000,0.009186469363947791
760000,0.006312485582206262
780000,0.005766772148549648
800000,0.007444314359112164
820000,0.007419143502489123
840000,0.004486763414117689
860000,0.0054526213691393766
880000,0.007678570278239261
900000,0.00798464262355894
920000,0.01060033984278519
940000,0.011419140296445668
960000,0.007927535631323784
980000,0.004478828141404156
1000000,0.005016920162420391
