episode,exp
1,2.373611111111111
20000,1.5866839753976356
40000,1.1953147241118374
60000,0.8581431265131905
80000,0.6467221649728059
100000,0.6451844765207542
120000,0.6647427756499391
140000,0.6736219464834987
160000,0.6514544719744553
180000,0.6895602887539095
200000,0.706798259002013
220000,0.6815183061399508
240000,0.696656919305861
260000,0.6879721985672295
280000,0.6615007757232605
300000,0.6549567918036009
320000,0.6703039440291072
340000,0.6699146445383237
360000,0.7006942290279503
380000,0.7199780364819988
400000,0.7293407985115337
420000,0.7868327155671571
440000,0.8220346514097266
460000,0.8517961085572415
480000,0.8521052462132133
500000,0.8938153012806432
520000,0.8928140659478722
540000,0.8774734726452106
560000,0.8701380481499819
580000,0.8690224883830018
600000,0.8684575916142019
620000,0.8843413747520149
640000,0.889531647281999
660000,0.8951721899120806
680000,0.8851619437002869
700000,0.8811093665770264
720000,0.8714588540865097
740000,0.8757080272834566
760000,0.8756384438140887
780000,0.8576568589437249
800000,0.8488086366711078
820000,0.8421885940817322
840000,0.8437459559432952
860000,0.8407516437341791
880000,0.8254331254475853
900000,0.8122912515008615
920000,0.7971248207039874
940000,0.7846409926619919
960000,0.7724724369933913
980000,0.7580870061342256
1000000,0.7556300943082832
