episode,exp
1,0.45833333333333326
20000,0.049649589094168695
40000,0.018445306126472355
60000,0.03588477221327613
80000,0.047341534234342564
100000,0.029894060011507156
120000,0.011852360276927959
140000,0.02359338463365604
160000,0.014228716013220621
180000,0.00804701326174434
200000,0.010203966045710194
220000,0.010229291371029847
240000,0.012033181287041617
260000,0.01745686234792146
280000,0.014558130235862804
300000,0.01807024561424475
320000,0.015021225117484743
340000,0.009238885730994961
360000,0.005983469810108749
380000,0.009930529400382276
400000,0.009701989398779892
420000,0.010160168447393009
440000,0.008241033632967243
460000,0.01687119789394062
480000,0.00868617583392084
500000,0.011567221291672813
520000,0.007851187376963942
540000,0.0077208154943209095
560000,0.0090015438773281
580000,0.004907596122854213
600000,0.004361414063916297
620000,0.014190864661747904
640000,0.010495438903983162
660000,0.014758301937160545
680000,0.018069561476908358
700000,0.009588293827377303
720000,0.006710178684566609
740000,0.006502044461465295
760000,0.004641166520681139
780000,0.0038705569440087018
800000,0.007018006657426579
820000,0.0055033277653392665
840000,0.007638285806152445
860000,0.006486444483043502
880000,0.008292630624842867
900000,0.004336626009737027
920000,0.006659129910237399
940000,0.004802238294639327
960000,0.0036734388187039946
980000,0.002322149294091025
1000000,0.0022941513200514796
