episode,exp
1,0.4902901171842515
20000,0.05734159772020614
40000,0.027965920871244526
60000,0.04254510066617151
80000,0.00634986713609445
100000,0.026495387979142054
120000,0.012913724018572048
140000,0.013003632159325346
160000,0.01772013584354079
180000,0.009899612880155506
200000,0.013539519029943187
220000,0.017417984014407945
240000,0.014258505826154039
260000,0.01099365791918741
280000,0.009088679631871627
300000,0.017589194880029274
320000,0.021595203661706808
340000,0.011449854985509045
360000,0.021146013234875083
380000,0.018325510754494345
400000,0.02877668431813904
420000,0.021821435835721076
440000,0.01498414925689237
460000,0.013626345067409618
480000,0.017339504160063912
500000,0.019742745830614056
520000,0.024255648689939346
540000,0.022346810103675313
560000,0.014380609204255851
580000,0.007601943831039987
600000,0.007858132106288412
620000,0.006551150513640441
640000,0.003336736042065802
660000,0.006803058086097907
680000,0.00663431453776972
700000,0.004042056933020899
720000,0.002875988723634315
740000,0.006152427089961443
760000,0.012577143737268759
780000,0.012672389125792882
800000,0.00896562396148054
820000,0.008920025988547964
840000,0.003580838586891788
860000,0.0028274424689445354
880000,0.005478415050643198
900000,0.006859492286913682
920000,0.01095812564684398
940000,0.006122530328497605
960000,0.004577524832738378
980000,0.007052819125325155
1000000,0.007963783385992629
