episode,exp
1,2.3616961161114096
20000,0.7116910247112657
40000,0.48559520504352827
60000,0.37777974286984267
80000,0.3504671093306778
100000,0.3195963981322014
120000,0.304999993831317
140000,0.3535863453706469
160000,0.31923718533531986
180000,0.3696629771464378
200000,0.34697367506099785
220000,0.3457085589589628
240000,0.35494455726410384
260000,0.34848632084109266
280000,0.38370166050903926
300000,0.4734710811890947
320000,0.4105706203239732
340000,0.5102205441680527
360000,0.5449616712544902
380000,0.5382746404637058
400000,0.5410697470073053
420000,0.4081839865395465
440000,0.5057847893702683
460000,0.5422328383886789
480000,0.5083325210799916
500000,0.48821822777072166
520000,0.4785208796192515
540000,0.4948758011709128
560000,0.5744739822055828
580000,0.5646710382446378
600000,0.5395437747160357
620000,0.5599216569078848
640000,0.5660361964856414
660000,0.5582547362010388
680000,0.5574468256460169
700000,0.5617486913017926
720000,0.59960953141734
740000,0.5824151528827672
760000,0.592678422086432
780000,0.5753935939453632
800000,0.5758064402176641
820000,0.5746891205380654
840000,0.570005492332494
860000,0.5796223665160466
880000,0.5676561854769846
900000,0.5741930267159716
920000,0.560676543681403
940000,0.5401637559059085
960000,0.5211291736384324
980000,0.4835717591179682
1000000,0.507197887048842
