episode,exp
1,2.351537319807698
20000,1.4014092201819213
40000,1.110722347433618
60000,0.9141723753532343
80000,0.7491661967820836
100000,0.6491499296453167
120000,0.6694410691896655
140000,0.6012344252645796
160000,0.6354692779534604
180000,0.6004973207824789
200000,0.6047224568480267
220000,0.565973244726458
240000,0.5360251623697104
260000,0.5346730881437904
280000,0.5237062478443267
300000,0.5515551352893806
320000,0.5669789654561385
340000,0.5973011829914314
360000,0.5707528461473667
380000,0.5939820672515075
400000,0.5925377983533769
420000,0.5723065451563321
440000,0.5594659268106685
460000,0.5266757055800969
480000,0.537826772293414
500000,0.5308607600350173
520000,0.5367458917293231
540000,0.5253557337252629
560000,0.5215352944911948
580000,0.5005471000298058
600000,0.5122965556110167
620000,0.5163519128353915
640000,0.5051253320246623
660000,0.5098625056579311
680000,0.4945623650494311
700000,0.48948941520127487
720000,0.4891489035241613
740000,0.47790369463387006
760000,0.47283901631560044
780000,0.4649003779441097
800000,0.47156470568975956
820000,0.4819975117451393
840000,0.4799973912358415
860000,0.4827641011889407
880000,0.4845229573454764
900000,0.47441583509489815
920000,0.4760984887696324
940000,0.47461791523045666
960000,0.48463266811299044
980000,0.47671116166073635
1000000,0.4712197162518328
